
time,gfx,gFy,gFz,wx,wy,wz,p,I,Latitude,Longitude,Speed (m/s),
0.1400,-0.0676,0.4911,0.9157,-0.0277,-0.1917,0.0618,969.9536,6597.0000,0.000000,0.000000,0.000000,
0.1400,-0.0676,0.4911,0.9157,-0.0277,-0.1917,0.0618,969.9536,6597.0000,0.000000,0.000000,0.000000,
0.1410,-0.0676,0.4911,0.9157,0.0149,0.0799,0.0746,969.9536,6597.0000,0.000000,0.000000,0.000000,
0.1410,-0.0431,0.5019,0.8342,0.0149,0.0799,0.0746,969.9536,6597.0000,0.000000,0.000000,0.000000,
0.1410,-0.0431,0.5019,0.8342,0.0149,0.0799,0.0746,969.9536,6597.0000,0.000000,0.000000,0.000000,
0.1420,-0.0431,0.5019,0.8342,0.0149,0.0799,0.0746,969.9536,6588.0000,0.000000,0.000000,0.000000,
0.2860,-0.0558,0.4973,0.8601,0.0149,0.0799,0.0746,969.9536,6588.0000,0.000000,0.000000,0.000000,
0.2860,-0.0558,0.4973,0.8601,0.0149,0.0799,0.0746,969.9536,6588.0000,0.000000,0.000000,0.000000,
0.2870,-0.0558,0.4973,0.8601,0.0149,0.0799,0.0746,969.9536,6588.0000,0.000000,0.000000,0.000000,
0.2870,-0.0558,0.4973,0.8601,0.0149,0.0799,0.0746,969.9536,6588.0000,0.000000,0.000000,0.000000,
0.2880,-0.0558,0.4973,0.8601,0.0149,0.0799,0.0746,969.9536,6588.0000,0.000000,0.000000,0.000000,
0.2880,-0.0558,0.4973,0.8601,0.0149,0.0799,0.0746,969.9536,6588.0000,0.000000,0.000000,0.000000,
0.2880,-0.0558,0.4973,0.8601,0.0149,0.0799,0.0746,969.9536,6588.0000,0.000000,0.000000,0.000000,
0.2890,-0.0558,0.4973,0.8601,0.0149,0.0799,0.0746,969.9536,6588.0000,0.000000,0.000000,0.000000,
0.2890,-0.0558,0.4973,0.8601,0.0149,0.0799,0.0746,969.9536,6588.0000,0.000000,0.000000,0.000000,
0.2890,-0.0558,0.4973,0.8601,0.0149,0.0799,0.0746,969.9536,6588.0000,0.000000,0.000000,0.000000,
0.2900,-0.0546,0.5011,0.8762,0.0149,0.0799,0.0746,969.9536,6588.0000,0.000000,0.000000,0.000000,
0.2900,-0.0546,0.5011,0.8762,0.0149,0.0799,0.0746,969.9536,6588.0000,0.000000,0.000000,0.000000,
0.2900,-0.0486,0.5002,0.8856,0.0149,0.0799,0.0746,969.9536,6588.0000,0.000000,0.000000,0.000000,
0.2900,-0.0486,0.5002,0.8856,0.0149,0.0799,0.0746,969.9536,6588.0000,0.000000,0.000000,0.000000,
0.2970,-0.0387,0.5095,0.8620,0.0149,0.0799,0.0746,969.9536,6588.0000,0.000000,0.000000,0.000000,
0.2980,-0.0387,0.5095,0.8620,0.0149,0.0799,0.0746,969.9536,6588.0000,0.000000,0.000000,0.000000,
0.3200,-0.0387,0.5095,0.8620,0.0149,0.0799,0.0746,969.9536,6588.0000,0.000000,0.000000,0.000000,
0.3200,-0.0387,0.5095,0.8620,0.0149,0.0799,0.0746,969.9536,6588.0000,0.000000,0.000000,0.000000,
0.3210,-0.0387,0.5095,0.8620,0.0799,0.0533,0.0032,969.9536,6588.0000,0.000000,0.000000,0.000000,
0.3210,-0.0387,0.5095,0.8620,0.0799,0.0533,0.0032,969.9441,6588.0000,0.000000,0.000000,0.000000,
0.3210,-0.0426,0.5213,0.8262,0.0799,0.0533,0.0032,969.9441,6588.0000,0.000000,0.000000,0.000000,
0.3210,-0.0426,0.5213,0.8262,0.0799,0.0533,0.0032,969.9441,6487.0000,0.000000,0.000000,0.000000,
0.3370,-0.0483,0.5130,0.8254,0.0799,0.0533,0.0032,969.9441,6487.0000,0.000000,0.000000,0.000000,
0.3370,-0.0483,0.5130,0.8254,0.0799,0.0533,0.0032,969.9441,6487.0000,0.000000,0.000000,0.000000,
0.3570,-0.0592,0.5017,0.8606,0.0799,0.0533,0.0032,969.9441,6487.0000,0.000000,0.000000,0.000000,
0.3580,-0.0592,0.5017,0.8606,0.0799,0.0533,0.0032,969.9441,6487.0000,0.000000,0.000000,0.000000,
0.3780,-0.0619,0.4963,0.8830,0.0799,0.0533,0.0032,969.9441,6487.0000,0.000000,0.000000,0.000000,
0.3780,-0.0619,0.4963,0.8830,0.0799,0.0533,0.0032,969.9441,6487.0000,0.000000,0.000000,0.000000,
0.3970,-0.0595,0.4980,0.8661,0.0799,0.0533,0.0032,969.9441,6487.0000,0.000000,0.000000,0.000000,
0.3970,-0.0595,0.4980,0.8661,0.0799,0.0533,0.0032,969.9441,6487.0000,0.000000,0.000000,0.000000,
0.4180,-0.0559,0.5086,0.8371,0.0799,0.0533,0.0032,969.9441,6487.0000,0.000000,0.000000,0.000000,
0.4180,-0.0559,0.5086,0.8371,0.0799,0.0533,0.0032,969.9441,6487.0000,0.000000,0.000000,0.000000,
0.4380,-0.0542,0.5130,0.8363,0.0799,0.0533,0.0032,969.9441,6487.0000,0.000000,0.000000,0.000000,
0.4380,-0.0542,0.5130,0.8363,0.0799,0.0533,0.0032,969.9441,6487.0000,0.000000,0.000000,0.000000,
0.4570,-0.0600,0.5023,0.8487,0.0799,0.0533,0.0032,969.9441,6487.0000,0.000000,0.000000,0.000000,
0.4570,-0.0600,0.5023,0.8487,0.0799,0.0533,0.0032,969.9441,6487.0000,0.000000,0.000000,0.000000,
0.4770,-0.0643,0.5006,0.8491,0.0799,0.0533,0.0032,969.9441,6487.0000,0.000000,0.000000,0.000000,
0.4770,-0.0643,0.5006,0.8491,0.0799,0.0533,0.0032,969.9441,6487.0000,0.000000,0.000000,0.000000,
0.4990,-0.0643,0.5006,0.8491,0.0799,0.0533,0.0032,969.9441,6487.0000,0.000000,0.000000,0.000000,
0.5000,-0.0643,0.5006,0.8491,-0.0298,0.0586,0.0373,969.9441,6487.0000,0.000000,0.000000,0.000000,
0.5000,-0.0643,0.5006,0.8491,-0.0298,0.0586,0.0373,969.9387,6487.0000,0.000000,0.000000,0.000000,
0.5000,-0.0522,0.5053,0.8641,-0.0298,0.0586,0.0373,969.9387,6487.0000,0.000000,0.000000,0.000000,
0.5000,-0.0522,0.5053,0.8641,-0.0298,0.0586,0.0373,969.9387,6487.0000,0.000000,0.000000,0.000000,
0.5010,-0.0522,0.5053,0.8641,-0.0298,0.0586,0.0373,969.9387,6421.0000,0.000000,0.000000,0.000000,
0.5170,-0.0476,0.5086,0.8779,-0.0298,0.0586,0.0373,969.9387,6421.0000,0.000000,0.000000,0.000000,
0.5180,-0.0476,0.5086,0.8779,-0.0298,0.0586,0.0373,969.9387,6421.0000,0.000000,0.000000,0.000000,
0.5380,-0.0524,0.5189,0.8710,-0.0298,0.0586,0.0373,969.9387,6421.0000,0.000000,0.000000,0.000000,
0.5380,-0.0524,0.5189,0.8710,-0.0298,0.0586,0.0373,969.9387,6421.0000,0.000000,0.000000,0.000000,
0.5580,-0.0602,0.5303,0.8332,-0.0298,0.0586,0.0373,969.9387,6421.0000,0.000000,0.000000,0.000000,
0.5580,-0.0602,0.5303,0.8332,-0.0298,0.0586,0.0373,969.9387,6421.0000,0.000000,0.000000,0.000000,
0.5780,-0.0752,0.5213,0.8242,-0.0298,0.0586,0.0373,969.9387,6421.0000,0.000000,0.000000,0.000000,
0.5790,-0.0752,0.5213,0.8242,-0.0298,0.0586,0.0373,969.9387,6421.0000,0.000000,0.000000,0.000000,
0.5980,-0.0854,0.5112,0.8315,-0.0298,0.0586,0.0373,969.9387,6421.0000,0.000000,0.000000,0.000000,
0.5990,-0.0854,0.5112,0.8315,-0.0298,0.0586,0.0373,969.9387,6421.0000,0.000000,0.000000,0.000000,
0.6210,-0.0865,0.5086,0.8382,-0.0298,0.0586,0.0373,969.9387,6421.0000,0.000000,0.000000,0.000000,
0.6210,-0.0865,0.5086,0.8382,-0.0298,0.0586,0.0373,969.9387,6421.0000,0.000000,0.000000,0.000000,
0.6380,-0.0809,0.5073,0.8586,-0.0298,0.0586,0.0373,969.9387,6421.0000,0.000000,0.000000,0.000000,
0.6390,-0.0809,0.5073,0.8586,-0.0298,0.0586,0.0373,969.9387,6421.0000,0.000000,0.000000,0.000000,
0.6590,-0.0790,0.4992,0.8835,-0.0298,0.0586,0.0373,969.9387,6421.0000,0.000000,0.000000,0.000000,
0.6590,-0.0790,0.4992,0.8835,-0.0298,0.0586,0.0373,969.9387,6421.0000,0.000000,0.000000,0.000000,
0.6820,-0.0790,0.4992,0.8835,-0.0298,0.0586,0.0373,969.9387,6421.0000,0.000000,0.000000,0.000000,
0.6820,-0.0790,0.4992,0.8835,0.0128,-0.0032,0.0202,969.9387,6421.0000,0.000000,0.000000,0.000000,
0.6830,-0.0790,0.4992,0.8835,0.0128,-0.0032,0.0202,969.9177,6421.0000,0.000000,0.000000,0.000000,
0.6830,-0.0827,0.4913,0.8861,0.0128,-0.0032,0.0202,969.9177,6421.0000,0.000000,0.000000,0.000000,
0.6830,-0.0827,0.4913,0.8861,0.0128,-0.0032,0.0202,969.9177,6421.0000,0.000000,0.000000,0.000000,
0.6840,-0.0827,0.4913,0.8861,0.0128,-0.0032,0.0202,969.9177,6322.0000,0.000000,0.000000,0.000000,
0.6980,-0.0785,0.4955,0.8851,0.0128,-0.0032,0.0202,969.9177,6322.0000,0.000000,0.000000,0.000000,
0.6980,-0.0785,0.4955,0.8851,0.0128,-0.0032,0.0202,969.9177,6322.0000,0.000000,0.000000,0.000000,
0.7200,-0.0646,0.5008,0.8811,0.0128,-0.0032,0.0202,969.9177,6322.0000,0.000000,0.000000,0.000000,
0.7200,-0.0646,0.5008,0.8811,0.0128,-0.0032,0.0202,969.9177,6322.0000,0.000000,0.000000,0.000000,
0.7400,-0.0596,0.5126,0.8793,0.0128,-0.0032,0.0202,969.9177,6322.0000,0.000000,0.000000,0.000000,
0.7400,-0.0596,0.5126,0.8793,0.0128,-0.0032,0.0202,969.9177,6322.0000,0.000000,0.000000,0.000000,
0.7590,-0.0650,0.5108,0.8747,0.0128,-0.0032,0.0202,969.9177,6322.0000,0.000000,0.000000,0.000000,
0.7600,-0.0650,0.5108,0.8747,0.0128,-0.0032,0.0202,969.9177,6322.0000,0.000000,0.000000,0.000000,
0.7780,-0.0682,0.5178,0.8563,0.0128,-0.0032,0.0202,969.9177,6322.0000,0.000000,0.000000,0.000000,
0.7780,-0.0682,0.5178,0.8563,0.0128,-0.0032,0.0202,969.9177,6322.0000,0.000000,0.000000,0.000000,
0.7990,-0.0652,0.5365,0.8360,0.0128,-0.0032,0.0202,969.9177,6322.0000,0.000000,0.000000,0.000000,
0.7990,-0.0652,0.5365,0.8360,0.0128,-0.0032,0.0202,969.9177,6322.0000,0.000000,0.000000,0.000000,
0.8190,-0.0623,0.5442,0.8221,0.0128,-0.0032,0.0202,969.9177,6322.0000,0.000000,0.000000,0.000000,
0.8200,-0.0623,0.5442,0.8221,0.0128,-0.0032,0.0202,969.9177,6322.0000,0.000000,0.000000,0.000000,
0.8390,-0.0665,0.5432,0.8196,0.0128,-0.0032,0.0202,969.9177,6322.0000,0.000000,0.000000,0.000000,
0.8400,-0.0665,0.5432,0.8196,0.0128,-0.0032,0.0202,969.9177,6322.0000,0.000000,0.000000,0.000000,
0.8620,-0.0665,0.5432,0.8196,0.0128,-0.0032,0.0202,969.9177,6322.0000,0.000000,0.000000,0.000000,
0.8620,-0.0665,0.5432,0.8196,0.0128,-0.0032,0.0202,969.9177,6322.0000,0.000000,0.000000,0.000000,
0.8630,-0.0665,0.5432,0.8196,-0.0032,0.3547,0.0660,969.9177,6322.0000,0.000000,0.000000,0.000000,
0.8630,-0.0665,0.5432,0.8196,-0.0032,0.3547,0.0660,969.9004,6322.0000,0.000000,0.000000,0.000000,
0.8920,-0.0921,0.5400,0.8214,-0.0032,0.3547,0.0660,969.9004,6322.0000,0.000000,0.000000,0.000000,
0.8920,-0.0921,0.5400,0.8214,-0.0032,0.3547,0.0660,969.9004,6200.0000,0.000000,0.000000,0.000000,
0.8930,-0.1137,0.5359,0.8261,-0.0032,0.3547,0.0660,969.9004,6200.0000,0.000000,0.000000,0.000000,
0.8930,-0.1137,0.5359,0.8261,-0.0032,0.3547,0.0660,969.9004,6200.0000,0.000000,0.000000,0.000000,
0.8980,-0.1246,0.5355,0.8358,-0.0032,0.3547,0.0660,969.9004,6200.0000,0.000000,0.000000,0.000000,
