
time,gfx,gFy,gFz,wx,wy,wz,p,I,Latitude,Longitude,Speed (m/s),
0.1380,-0.1467,0.3750,0.9204,-0.1981,-0.2120,0.0149,970.0032,31.0000,0.000000,0.000000,0.000000,
0.1390,-0.1467,0.3750,0.9204,-0.1981,-0.2120,0.0149,970.0032,31.0000,0.000000,0.000000,0.000000,
0.1390,-0.1467,0.3750,0.9204,-0.0213,-0.0234,-0.0053,970.0032,31.0000,0.000000,0.000000,0.000000,
0.1390,-0.1474,0.3588,0.9267,-0.0213,-0.0234,-0.0053,970.0032,31.0000,0.000000,0.000000,0.000000,
0.1400,-0.1474,0.3588,0.9267,-0.0213,-0.0234,-0.0053,970.0032,31.0000,0.000000,0.000000,0.000000,
0.1400,-0.1474,0.3588,0.9267,-0.0213,-0.0234,-0.0053,970.0032,30.0000,0.000000,0.000000,0.000000,
0.3160,-0.1474,0.3588,0.9267,-0.0213,-0.0234,-0.0053,969.9927,30.0000,0.000000,0.000000,0.000000,
0.3160,-0.1474,0.3588,0.9267,-0.0213,-0.0234,-0.0053,969.9927,30.0000,0.000000,0.000000,0.000000,
0.3170,-0.1474,0.3588,0.9267,0.0011,0.0085,-0.0064,969.9927,30.0000,0.000000,0.000000,0.000000,
0.3170,-0.1467,0.3627,0.9236,0.0011,0.0085,-0.0064,969.9927,30.0000,0.000000,0.000000,0.000000,
0.3170,-0.1467,0.3627,0.9236,0.0011,0.0085,-0.0064,969.9927,30.0000,0.000000,0.000000,0.000000,
0.3180,-0.1467,0.3627,0.9236,0.0011,0.0085,-0.0064,969.9927,29.0000,0.000000,0.000000,0.000000,
0.4980,-0.1467,0.3627,0.9236,0.0011,0.0085,-0.0064,969.9905,29.0000,0.000000,0.000000,0.000000,
0.4990,-0.1467,0.3627,0.9236,0.0011,0.0085,-0.0064,969.9905,29.0000,0.000000,0.000000,0.000000,
0.4990,-0.1467,0.3627,0.9236,-0.0181,-0.0011,0.0117,969.9905,29.0000,0.000000,0.000000,0.000000,
0.5000,-0.1451,0.3685,0.9176,-0.0181,-0.0011,0.0117,969.9905,29.0000,0.000000,0.000000,0.000000,
0.5000,-0.1451,0.3685,0.9176,-0.0181,-0.0011,0.0117,969.9905,29.0000,0.000000,0.000000,0.000000,
0.5010,-0.1451,0.3685,0.9176,-0.0181,-0.0011,0.0117,969.9905,29.0000,0.000000,0.000000,0.000000,
0.6770,-0.1451,0.3685,0.9176,-0.0181,-0.0011,0.0117,969.9797,29.0000,0.000000,0.000000,0.000000,
0.6770,-0.1451,0.3685,0.9176,-0.0181,-0.0011,0.0117,969.9797,29.0000,0.000000,0.000000,0.000000,
0.6780,-0.1451,0.3685,0.9176,0.0405,0.0298,0.0107,969.9797,29.0000,0.000000,0.000000,0.000000,
0.6780,-0.1366,0.3678,0.9111,0.0405,0.0298,0.0107,969.9797,29.0000,0.000000,0.000000,0.000000,
0.6780,-0.1366,0.3678,0.9111,0.0405,0.0298,0.0107,969.9797,29.0000,0.000000,0.000000,0.000000,
0.6790,-0.1366,0.3678,0.9111,0.0405,0.0298,0.0107,969.9797,29.0000,0.000000,0.000000,0.000000,
0.8580,-0.1366,0.3678,0.9111,-0.0266,-0.0107,0.0032,969.9797,29.0000,0.000000,0.000000,0.000000,
0.8580,-0.1366,0.3678,0.9111,-0.0266,-0.0107,0.0032,969.9729,29.0000,0.000000,0.000000,0.000000,
0.8590,-0.1366,0.3678,0.9111,-0.0266,-0.0107,0.0032,969.9729,29.0000,0.000000,0.000000,0.000000,
0.8600,-0.1411,0.3711,0.9218,-0.0266,-0.0107,0.0032,969.9729,29.0000,0.000000,0.000000,0.000000,
0.8600,-0.1411,0.3711,0.9218,-0.0266,-0.0107,0.0032,969.9729,29.0000,0.000000,0.000000,0.000000,
0.8610,-0.1411,0.3711,0.9218,-0.0266,-0.0107,0.0032,969.9729,29.0000,0.000000,0.000000,0.000000,
1.0360,-0.1411,0.3711,0.9218,-0.0085,-0.0181,0.0043,969.9729,29.0000,0.000000,0.000000,0.000000,
1.0370,-0.1411,0.3711,0.9218,-0.0085,-0.0181,0.0043,969.9695,29.0000,0.000000,0.000000,0.000000,
1.0370,-0.1411,0.3711,0.9218,-0.0085,-0.0181,0.0043,969.9695,29.0000,0.000000,0.000000,0.000000,
