
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,
0.0120,‎-0.0477,0.4368,0.6692,0.3632,‎-0.0423,0.0566,978.4858,‎-27.7939,‎-0.5234,‎-31.0135,
0.0270,0.0070,0.4089,0.8050,0.3632,‎-0.0423,0.0566,978.4858,‎-27.7939,‎-0.5234,‎-31.0135,
0.0400,0.0070,0.4089,0.8050,0.3632,‎-0.0423,0.0566,978.4858,‎-28.1677,0.2731,‎-30.3986,
0.0530,0.0070,0.4089,0.8050,0.3632,‎-0.0423,0.0566,978.3940,‎-28.1677,0.2731,‎-30.3986,
0.0880,‎-0.0013,0.3791,0.9611,0.3632,‎-0.0423,0.0566,978.3940,‎-28.1677,0.2731,‎-30.3986,
0.1000,‎-0.0013,0.3791,0.9611,0.3632,‎-0.0423,0.0566,978.3940,‎-27.6779,‎-0.2991,‎-30.4626,
0.1130,‎-0.0013,0.3791,0.9611,0.3632,‎-0.0423,0.0566,978.3940,‎-27.6779,‎-0.2991,‎-30.4626,
0.1140,‎-0.0013,0.3791,0.9611,0.1282,‎-0.1427,‎-0.4529,978.3940,‎-27.6779,‎-0.2991,‎-30.4626,
0.1470,‎-0.0092,0.4353,0.9211,0.1282,‎-0.1427,‎-0.4529,978.3940,‎-27.6779,‎-0.2991,‎-30.4626,
0.1780,‎-0.0092,0.4353,0.9211,0.1282,‎-0.1427,‎-0.4529,978.3940,‎-28.0914,‎-1.9730,‎-29.3289,
0.2270,‎-0.0233,0.4181,1.0054,0.1282,‎-0.1427,‎-0.4529,978.3940,‎-28.0914,‎-1.9730,‎-29.3289,
0.2380,‎-0.0233,0.4181,1.0054,0.1282,‎-0.1427,‎-0.4529,978.3940,‎-27.3499,‎-1.2512,‎-29.9835,
0.2490,‎-0.0233,0.4181,1.0054,0.1282,‎-0.1427,‎-0.4529,978.3940,‎-27.3499,‎-1.2512,‎-29.9835,
0.2610,‎-0.0233,0.4181,1.0054,0.1282,‎-0.1427,‎-0.4529,978.3940,‎-27.3499,‎-1.2512,‎-29.9835,
0.2880,‎-0.0399,0.2759,1.0510,0.1282,‎-0.1427,‎-0.4529,978.3940,‎-27.3499,‎-1.2512,‎-29.9835,
0.3130,‎-0.0399,0.2759,1.0510,‎-0.3268,‎-0.1416,0.1581,978.3940,‎-27.3499,‎-1.2512,‎-29.9835,
0.3150,‎-0.0399,0.2759,1.0510,‎-0.3268,‎-0.1416,0.1581,978.3940,‎-27.3499,‎-1.2512,‎-29.9835,
0.3190,‎-0.0399,0.2759,1.0510,‎-0.3268,‎-0.1416,0.1581,978.3940,‎-28.0930,‎-0.1144,‎-29.8630,
0.3660,0.0238,0.2345,0.9836,‎-0.3268,‎-0.1416,0.1581,978.3940,‎-28.0930,‎-0.1144,‎-29.8630,
0.3780,0.0238,0.2345,0.9836,‎-0.3268,‎-0.1416,0.1581,978.3940,‎-27.9419,0.5768,‎-30.8350,
0.4290,‎-0.0153,0.1657,0.9723,‎-0.3268,‎-0.1416,0.1581,978.3940,‎-27.9419,0.5768,‎-30.8350,
0.4390,‎-0.0153,0.1657,0.9723,‎-0.3268,‎-0.1416,0.1581,978.3940,‎-27.4948,0.0549,‎-31.0379,
0.4500,‎-0.0153,0.1657,0.9723,‎-0.3268,‎-0.1416,0.1581,978.4335,‎-27.4948,0.0549,‎-31.0379,
0.4870,0.0181,0.2470,0.8448,‎-0.3268,‎-0.1416,0.1581,978.4335,‎-27.4948,0.0549,‎-31.0379,
0.5120,0.0181,0.2470,0.8448,0.2564,0.3711,0.0032,978.4335,‎-27.4948,0.0549,‎-31.0379,
0.5130,0.0181,0.2470,0.8448,0.2564,0.3711,0.0032,978.4335,‎-27.4948,0.0549,‎-31.0379,
0.5200,0.0181,0.2470,0.8448,0.2564,0.3711,0.0032,978.4335,‎-26.4404,‎-0.9567,‎-31.5140,
0.5670,‎-0.0589,0.2957,0.9759,0.2564,0.3711,0.0032,978.4335,‎-26.4404,‎-0.9567,‎-31.5140,
0.5800,‎-0.0589,0.2957,0.9759,0.2564,0.3711,0.0032,978.4335,‎-25.7202,‎-0.8057,‎-32.2220,
0.6290,‎-0.0574,0.2960,1.0187,0.2564,0.3711,0.0032,978.4335,‎-25.7202,‎-0.8057,‎-32.2220,
0.6440,‎-0.0574,0.2960,1.0187,0.2564,0.3711,0.0032,978.4335,‎-24.7238,0.0580,‎-32.4661,
0.6550,‎-0.0574,0.2960,1.0187,0.2564,0.3711,0.0032,978.4335,‎-24.7238,0.0580,‎-32.4661,
0.6900,0.0428,0.3074,0.9715,0.2564,0.3711,0.0032,978.4335,‎-24.7238,0.0580,‎-32.4661,
0.7120,0.0428,0.3074,0.9715,‎-0.2125,0.0656,0.2574,978.4335,‎-24.7238,0.0580,‎-32.4661,
0.7140,0.0428,0.3074,0.9715,‎-0.2125,0.0656,0.2574,978.4335,‎-24.7238,0.0580,‎-32.4661,
0.7220,0.0428,0.3074,0.9715,‎-0.2125,0.0656,0.2574,978.4335,‎-24.7574,1.9165,‎-33.1406,
0.7650,‎-0.0169,0.3460,0.9675,‎-0.2125,0.0656,0.2574,978.4335,‎-24.7574,1.9165,‎-33.1406,
0.7820,‎-0.0169,0.3460,0.9675,‎-0.2125,0.0656,0.2574,978.4335,‎-24.6918,2.1942,‎-32.7805,
