
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,
0.0160,0.0288,0.4165,0.6711,0.0321,0.0026,-0.3492,978.5374,-4.6600,6.4941,-42.3859,
0.0170,-0.0600,0.4531,0.6995,0.0321,0.0026,-0.3492,978.5374,-4.6600,6.4941,-42.3859,
0.0400,-0.0600,0.4531,0.6995,0.0235,0.4096,0.0780,978.5374,-4.6600,6.4941,-42.3859,
0.0410,-0.0600,0.4531,0.6995,0.0235,0.4096,0.0780,978.5374,-4.6600,6.4941,-42.3859,
0.0460,-0.0673,0.4431,0.9253,0.0235,0.4096,0.0780,978.5374,-4.6600,6.4941,-42.3859,
0.0520,-0.0673,0.4431,0.9253,0.0235,0.4096,0.0780,978.5374,-3.1921,6.7673,-42.2516,
0.0620,-0.0673,0.4431,0.9253,0.0235,0.4096,0.0780,978.5374,-3.1921,6.7673,-42.2516,
0.1110,-0.0673,0.4431,0.9253,0.0235,0.4096,0.0780,978.5374,-2.7679,5.6808,-42.7277,
0.1270,-0.0415,0.5044,0.9837,0.0235,0.4096,0.0780,978.5374,-2.7679,5.6808,-42.7277,
0.1720,-0.0415,0.5044,0.9837,0.0235,0.4096,0.0780,978.5374,-2.4261,5.5420,-42.9840,
0.1860,-0.2571,0.5973,1.0929,0.0235,0.4096,0.0780,978.5374,-2.4261,5.5420,-42.9840,
0.2300,-0.2571,0.5973,1.0929,0.0107,-0.3061,0.5362,978.5374,-2.4261,5.5420,-42.9840,
0.2320,-0.2571,0.5973,1.0929,0.0107,-0.3061,0.5362,978.5374,-2.4261,5.5420,-42.9840,
0.2440,-0.0275,0.4303,1.0253,0.0107,-0.3061,0.5362,978.5374,-2.4261,5.5420,-42.9840,
0.2520,-0.0275,0.4303,1.0253,0.0107,-0.3061,0.5362,978.5374,-2.8595,5.6091,-42.8436,
0.2620,-0.0275,0.4303,1.0253,0.0107,-0.3061,0.5362,978.4851,-2.8595,5.6091,-42.8436,
0.3120,-0.0275,0.4303,1.0253,0.0107,-0.3061,0.5362,978.4851,-4.2252,6.4453,-42.5781,
0.3240,-0.0491,0.4601,0.9283,0.0107,-0.3061,0.5362,978.4851,-4.2252,6.4453,-42.5781,
0.3730,-0.0491,0.4601,0.9283,0.0107,-0.3061,0.5362,978.4851,-2.8885,5.0018,-43.2648,
0.3840,-0.0508,0.4186,0.7558,0.0107,-0.3061,0.5362,978.4851,-2.8885,5.0018,-43.2648,
