
time,gfx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,I,Latitude,Longitude,Speed (m/s),
0.0070,0.0156,0.5082,0.8678,0.3373,0.0798,-0.0380,0.1075,0.2566,-0.0098,-28.3800,-7.9200,-36.7200,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.0080,0.0039,0.5160,0.8795,0.3373,0.0798,-0.0380,0.1075,0.2566,-0.0098,-28.3800,-7.9200,-36.7200,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.0230,0.0039,0.5160,0.8795,0.3373,0.0798,-0.0380,0.1075,0.2566,-0.0098,-28.0800,-8.3400,-36.7200,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.0240,0.0000,0.5160,0.8756,0.3373,0.0798,-0.0380,0.1075,0.2566,-0.0098,-28.0800,-8.3400,-36.7200,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.0530,0.0039,0.5199,0.8678,0.3373,0.0798,-0.0380,0.1075,0.2566,-0.0098,-28.0800,-8.3400,-36.7200,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.0660,0.0078,0.5160,0.8639,0.3373,0.0798,-0.0380,0.1075,0.2566,-0.0098,-28.0800,-8.3400,-36.7200,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.0820,0.0117,0.5160,0.8600,0.3373,0.0798,-0.0380,0.1075,0.2566,-0.0098,-28.0800,-8.3400,-36.7200,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.0830,0.0117,0.5160,0.8600,0.3373,0.0798,-0.0380,-0.3067,0.3543,-0.0024,-28.0800,-8.3400,-36.7200,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.0840,0.0117,0.5160,0.8600,0.4672,-0.0858,0.0637,-0.3067,0.3543,-0.0024,-28.0800,-8.3400,-36.7200,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.1020,0.0235,0.5082,0.8639,0.4672,-0.0858,0.0637,-0.3067,0.3543,-0.0024,-28.0800,-8.3400,-36.7200,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.1250,0.0352,0.5003,0.8678,0.4672,-0.0858,0.0637,-0.3067,0.3543,-0.0024,-28.0800,-8.3400,-36.7200,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.1510,0.0274,0.5003,0.8834,0.4672,-0.0858,0.0637,-0.3067,0.3543,-0.0024,-28.0800,-8.3400,-36.7200,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.1520,0.0274,0.5003,0.8834,0.4672,-0.0858,0.0637,-0.3067,0.3543,-0.0024,-27.4200,-8.7600,-36.6600,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.1620,0.0235,0.4964,0.9069,0.4672,-0.0858,0.0637,-0.3067,0.3543,-0.0024,-27.4200,-8.7600,-36.6600,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.1850,0.0235,0.4886,0.9225,0.4672,-0.0858,0.0637,-0.3067,0.3543,-0.0024,-27.4200,-8.7600,-36.6600,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.2020,0.0313,0.4808,0.9460,0.4672,-0.0858,0.0637,-0.3067,0.3543,-0.0024,-27.4200,-8.7600,-36.6600,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.2100,0.0313,0.4808,0.9460,0.4672,-0.0858,0.0637,-0.3067,0.3543,-0.0024,-26.5800,-9.0600,-36.0000,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.2230,0.0547,0.4573,0.9499,0.4672,-0.0858,0.0637,-0.3067,0.3543,-0.0024,-26.5800,-9.0600,-36.0000,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.2440,0.0625,0.4573,0.9420,0.4672,-0.0858,0.0637,-0.3067,0.3543,-0.0024,-26.5800,-9.0600,-36.0000,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.2620,0.0743,0.4495,0.9186,0.4672,-0.0858,0.0637,-0.3067,0.3543,-0.0024,-26.5800,-9.0600,-36.0000,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.2820,0.0821,0.4495,0.8951,0.4672,-0.0858,0.0637,-0.3067,0.3543,-0.0024,-26.5800,-9.0600,-36.0000,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.2830,0.0821,0.4495,0.8951,0.4672,-0.0858,0.0637,-0.0562,-0.2236,0.0122,-26.5800,-9.0600,-36.0000,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.2840,0.0821,0.4495,0.8951,0.6726,-0.3707,0.1864,-0.0562,-0.2236,0.0122,-26.5800,-9.0600,-36.0000,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.3050,0.0821,0.4534,0.8873,0.6726,-0.3707,0.1864,-0.0562,-0.2236,0.0122,-26.5800,-9.0600,-36.0000,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.3240,0.0782,0.4534,0.8834,0.6726,-0.3707,0.1864,-0.0562,-0.2236,0.0122,-26.5800,-9.0600,-36.0000,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.3410,0.0782,0.4534,0.8834,0.6726,-0.3707,0.1864,-0.0562,-0.2236,0.0122,-26.2200,-8.8200,-35.4600,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.3620,0.0743,0.4417,0.8834,0.6726,-0.3707,0.1864,-0.0562,-0.2236,0.0122,-26.2200,-8.8200,-35.4600,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.3810,0.0704,0.4456,0.8834,0.6726,-0.3707,0.1864,-0.0562,-0.2236,0.0122,-26.2200,-8.8200,-35.4600,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.4020,0.0704,0.4456,0.8795,0.6726,-0.3707,0.1864,-0.0562,-0.2236,0.0122,-26.2200,-8.8200,-35.4600,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.4070,0.0704,0.4456,0.8795,0.6726,-0.3707,0.1864,-0.0562,-0.2236,0.0122,-26.1600,-8.3400,-35.3400,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.4210,0.0625,0.4456,0.8756,0.6726,-0.3707,0.1864,-0.0562,-0.2236,0.0122,-26.1600,-8.3400,-35.3400,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.4410,0.0782,0.4339,0.8795,0.6726,-0.3707,0.1864,-0.0562,-0.2236,0.0122,-26.1600,-8.3400,-35.3400,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.4650,0.0743,0.4339,0.8834,0.6726,-0.3707,0.1864,-0.0562,-0.2236,0.0122,-26.1600,-8.3400,-35.3400,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.4830,0.0665,0.4300,0.8912,0.6726,-0.3707,0.1864,-0.0562,-0.2236,0.0122,-26.1600,-8.3400,-35.3400,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.4860,0.0665,0.4300,0.8912,0.6726,-0.3707,0.1864,-0.1344,-0.0757,-0.0721,-26.1600,-8.3400,-35.3400,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.4880,0.0665,0.4300,0.8912,0.2121,-0.3066,0.1805,-0.1344,-0.0757,-0.0721,-26.1600,-8.3400,-35.3400,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.5030,0.0586,0.4222,0.8990,0.2121,-0.3066,0.1805,-0.1344,-0.0757,-0.0721,-26.1600,-8.3400,-35.3400,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.5240,0.0625,0.4143,0.8951,0.2121,-0.3066,0.1805,-0.1344,-0.0757,-0.0721,-26.1600,-8.3400,-35.3400,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.5420,0.0625,0.4143,0.8951,0.2121,-0.3066,0.1805,-0.1344,-0.0757,-0.0721,-26.4600,-7.9200,-35.2200,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.5450,0.0625,0.4143,0.9030,0.2121,-0.3066,0.1805,-0.1344,-0.0757,-0.0721,-26.4600,-7.9200,-35.2200,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.5650,0.0586,0.4183,0.9069,0.2121,-0.3066,0.1805,-0.1344,-0.0757,-0.0721,-26.4600,-7.9200,-35.2200,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.5850,0.0586,0.4143,0.9186,0.2121,-0.3066,0.1805,-0.1344,-0.0757,-0.0721,-26.4600,-7.9200,-35.2200,10240.0000,32.85707486,35.27914242,2.1213202476501465,
0.6050,0.0625,0.4183,0.9147,0.2121,-0.3066,0.1805,-0.1344,-0.0757,-0.0721,-26.4600,-7.9200,-35.2200,10240.0000,32.85707486,35.27914242,2.1213202476501465,
