
time,gfx,gFy,gFz,wx,wy,wz,Bx,By,Bz,I,
0.0040,0.0156,0.1485,0.9929,0.2187,0.0379,0.0183,20.9400,14.7000,-25.2600,320.0000,
0.0060,0.0156,0.1485,0.9929,0.2187,0.0379,0.0183,20.9400,14.7000,-25.2600,320.0000,
0.0570,0.0156,0.1485,0.9929,0.2187,0.0379,0.0183,21.2400,14.4600,-24.9000,320.0000,
0.0580,0.0352,0.1603,0.9655,0.2187,0.0379,0.0183,21.2400,14.4600,-24.9000,320.0000,
0.1310,0.0352,0.1603,0.9655,0.2187,0.0379,0.0183,21.0000,14.2200,-24.9600,320.0000,
0.1940,0.0352,0.1603,0.9655,0.0269,0.2004,-0.0244,21.0000,14.2200,-24.9600,320.0000,
0.1960,0.0352,0.1603,0.9655,0.0269,0.2004,-0.0244,21.0000,14.2200,-24.9600,320.0000,
0.2610,0.0352,0.1603,0.9655,0.0269,0.2004,-0.0244,21.2400,14.3400,-24.8400,320.0000,
0.2630,0.0039,0.1642,0.9655,0.0269,0.2004,-0.0244,21.2400,14.3400,-24.8400,320.0000,
0.3270,0.0039,0.1642,0.9655,0.0269,0.2004,-0.0244,21.3600,14.0400,-24.5400,320.0000,
0.3880,0.0039,0.1642,0.9655,-0.0134,0.0098,-0.0476,21.3600,14.0400,-24.5400,320.0000,
0.3940,0.0039,0.1642,0.9655,-0.0134,0.0098,-0.0476,21.3600,14.0400,-24.5400,320.0000,
0.4550,0.0039,0.1642,0.9655,-0.0134,0.0098,-0.0476,21.2400,14.1000,-24.5400,320.0000,
0.4600,0.0000,0.1564,0.9968,-0.0134,0.0098,-0.0476,21.2400,14.1000,-24.5400,320.0000,
0.5330,0.0000,0.1564,0.9968,-0.0134,0.0098,-0.0476,21.5400,13.9800,-24.5400,320.0000,
0.5880,0.0000,0.1564,0.9968,-0.0049,0.0049,-0.0660,21.5400,13.9800,-24.5400,320.0000,
0.5890,0.0000,0.1564,0.9968,-0.0049,0.0049,-0.0660,21.5400,13.9800,-24.5400,320.0000,
0.6530,0.0000,0.1564,0.9968,-0.0049,0.0049,-0.0660,21.7800,14.1000,-24.6000,320.0000,
0.6720,-0.0039,0.1564,1.0046,-0.0049,0.0049,-0.0660,21.7800,14.1000,-24.6000,320.0000,
0.7200,-0.0039,0.1564,1.0046,-0.0049,0.0049,-0.0660,21.6600,14.4000,-24.9600,320.0000,
0.7920,-0.0039,0.1564,1.0046,0.0037,0.0220,-0.1038,21.6600,14.4000,-24.9600,320.0000,
0.7950,-0.0039,0.1564,1.0046,0.0037,0.0220,-0.1038,21.6600,14.4000,-24.9600,320.0000,
0.8540,-0.0039,0.1564,1.0046,0.0037,0.0220,-0.1038,21.3600,14.6400,-25.3200,320.0000,
0.8600,-0.0235,0.1994,0.9850,0.0037,0.0220,-0.1038,21.3600,14.6400,-25.3200,320.0000,
0.9170,-0.0235,0.1994,0.9850,0.0037,0.0220,-0.1038,21.0600,14.8800,-25.4400,320.0000,
0.9910,-0.0235,0.1994,0.9850,0.0257,-0.0220,0.1002,21.0600,14.8800,-25.4400,320.0000,
0.9940,-0.0235,0.1994,0.9850,0.0257,-0.0220,0.1002,21.0600,14.8800,-25.4400,320.0000,
1.0480,-0.0235,0.1994,0.9850,0.0257,-0.0220,0.1002,20.7600,14.7600,-25.6800,320.0000,
1.0650,0.0274,0.1681,0.9850,0.0257,-0.0220,0.1002,20.7600,14.7600,-25.6800,320.0000,
1.1810,0.0274,0.1681,0.9850,0.0257,-0.0220,0.1002,20.4000,14.9400,-25.8000,320.0000,
1.1890,0.0274,0.1681,0.9850,0.0403,0.0086,-0.0086,20.4000,14.9400,-25.8000,320.0000,
1.2040,0.0274,0.1681,0.9850,0.0403,0.0086,-0.0086,20.4000,14.9400,-25.8000,320.0000,
1.2470,0.0274,0.1681,0.9850,0.0403,0.0086,-0.0086,20.4600,14.8800,-25.9200,320.0000,
1.2620,0.0117,0.1837,0.9772,0.0403,0.0086,-0.0086,20.4600,14.8800,-25.9200,320.0000,
1.3840,0.0117,0.1837,0.9772,0.0403,0.0086,-0.0086,20.2800,14.9400,-25.8000,320.0000,
1.3900,0.0117,0.1837,0.9772,-0.0012,-0.0415,-0.0293,20.2800,14.9400,-25.8000,320.0000,
1.3940,0.0117,0.1837,0.9772,-0.0012,-0.0415,-0.0293,20.2800,14.9400,-25.8000,320.0000,
1.4460,0.0117,0.1837,0.9772,-0.0012,-0.0415,-0.0293,20.1600,14.8200,-26.0400,320.0000,
1.4630,0.0156,0.1915,0.9772,-0.0012,-0.0415,-0.0293,20.1600,14.8200,-26.0400,320.0000,
1.5850,0.0156,0.1915,0.9772,-0.0012,-0.0415,-0.0293,19.9200,14.7000,-25.9800,320.0000,
1.6040,0.0156,0.1915,0.9772,0.0086,-0.0147,0.0134,19.9200,14.7000,-25.9800,320.0000,
1.6070,0.0156,0.1915,0.9772,0.0086,-0.0147,0.0134,19.9200,14.7000,-25.9800,320.0000,
1.6420,0.0156,0.1915,0.9772,0.0086,-0.0147,0.0134,19.7400,14.4000,-26.0400,320.0000,
1.6610,0.0313,0.1759,0.9929,0.0086,-0.0147,0.0134,19.7400,14.4000,-26.0400,320.0000,
1.7730,0.0313,0.1759,0.9929,0.0086,-0.0147,0.0134,19.8000,14.5800,-26.1600,320.0000,
1.7900,0.0313,0.1759,0.9929,-0.0012,0.0147,0.0098,19.8000,14.5800,-26.1600,320.0000,
1.7940,0.0313,0.1759,0.9929,-0.0012,0.0147,0.0098,19.8000,14.5800,-26.1600,320.0000,
1.8650,0.0313,0.1759,0.9929,-0.0012,0.0147,0.0098,19.6800,14.5200,-26.2800,320.0000,
