
time,gfx,gFy,gFz,wx,wy,wz,Bx,By,Bz,I,
0.0050,-0.0117,0.2463,0.9616,0.1759,-0.0086,-0.0770,27.4200,-14.4600,-22.3200,90.0000,
0.0060,-0.0117,0.2463,0.9616,0.1759,-0.0086,-0.0770,27.5400,-14.5800,-21.9000,90.0000,
0.0650,-0.0117,0.2463,0.9616,-0.1063,0.2162,0.0086,27.5400,-14.5800,-21.9000,90.0000,
0.0660,-0.0117,0.2463,0.9616,-0.1063,0.2162,0.0086,27.5400,-14.5800,-21.9000,90.0000,
0.1300,-0.0117,0.2463,0.9616,-0.1063,0.2162,0.0086,28.2600,-15.0000,-21.4200,90.0000,
0.1800,-0.0235,0.2424,0.9733,-0.1063,0.2162,0.0086,28.2600,-15.0000,-21.4200,90.0000,
0.1990,-0.0235,0.2424,0.9733,-0.1063,0.2162,0.0086,28.3200,-14.8200,-21.2400,90.0000,
0.2640,-0.0235,0.2424,0.9733,-0.0269,-0.1332,-0.0330,28.3200,-14.8200,-21.2400,90.0000,
0.2670,-0.0235,0.2424,0.9733,-0.0269,-0.1332,-0.0330,28.3200,-14.8200,-21.2400,90.0000,
0.3180,-0.0235,0.2424,0.9733,-0.0269,-0.1332,-0.0330,28.4400,-15.0600,-20.9400,90.0000,
0.3800,-0.0235,0.2384,0.9694,-0.0269,-0.1332,-0.0330,28.4400,-15.0600,-20.9400,90.0000,
0.3870,-0.0235,0.2384,0.9694,-0.0269,-0.1332,-0.0330,28.5000,-14.8200,-20.8800,90.0000,
0.4610,-0.0235,0.2384,0.9694,-0.0159,-0.0024,-0.0147,28.5000,-14.8200,-20.8800,90.0000,
0.4650,-0.0235,0.2384,0.9694,-0.0159,-0.0024,-0.0147,28.5000,-14.8200,-20.8800,90.0000,
0.5280,-0.0235,0.2384,0.9694,-0.0159,-0.0024,-0.0147,28.5600,-14.6400,-20.8800,90.0000,
0.5880,-0.0195,0.2345,0.9733,-0.0159,-0.0024,-0.0147,28.5600,-14.6400,-20.8800,90.0000,
0.5920,-0.0195,0.2345,0.9733,-0.0159,-0.0024,-0.0147,28.6800,-14.5200,-20.8800,90.0000,
0.6610,-0.0195,0.2345,0.9733,-0.0012,0.0024,-0.0098,28.6800,-14.5200,-20.8800,90.0000,
0.6670,-0.0195,0.2345,0.9733,-0.0012,0.0024,-0.0098,28.6800,-14.5200,-20.8800,90.0000,
0.7190,-0.0195,0.2345,0.9733,-0.0012,0.0024,-0.0098,28.2600,-14.5800,-21.1200,90.0000,
0.7890,-0.0195,0.2345,0.9694,-0.0012,0.0024,-0.0098,28.2600,-14.5800,-21.1200,90.0000,
0.8000,-0.0195,0.2345,0.9694,-0.0012,0.0024,-0.0098,27.9000,-14.4000,-21.4800,90.0000,
0.8040,-0.0195,0.2345,0.9694,-0.0012,0.0024,-0.0098,27.9000,-14.4000,-21.4800,40.0000,
0.8630,-0.0195,0.2345,0.9694,-0.0354,0.0098,-0.0061,27.9000,-14.4000,-21.4800,40.0000,
0.8670,-0.0195,0.2345,0.9694,-0.0354,0.0098,-0.0061,27.9000,-14.4000,-21.4800,40.0000,
0.9180,-0.0195,0.2345,0.9694,-0.0354,0.0098,-0.0061,27.2400,-14.2200,-21.9600,40.0000,
0.9820,-0.0313,0.2228,0.9655,-0.0354,0.0098,-0.0061,27.2400,-14.2200,-21.9600,40.0000,
0.9860,-0.0313,0.2228,0.9655,-0.0354,0.0098,-0.0061,27.2400,-14.2800,-22.3200,40.0000,
1.0600,-0.0313,0.2228,0.9655,-0.1136,0.0098,-0.0086,27.2400,-14.2800,-22.3200,40.0000,
1.0640,-0.0313,0.2228,0.9655,-0.1136,0.0098,-0.0086,27.2400,-14.2800,-22.3200,40.0000,
1.1280,-0.0313,0.2228,0.9655,-0.1136,0.0098,-0.0086,27.0000,-14.1600,-22.7400,40.0000,
1.1920,-0.0235,0.2150,1.0124,-0.1136,0.0098,-0.0086,27.0000,-14.1600,-22.7400,40.0000,
1.1930,-0.0235,0.2150,1.0124,-0.1136,0.0098,-0.0086,26.9400,-13.9800,-22.9200,40.0000,
1.2610,-0.0235,0.2150,1.0124,-0.0293,-0.0024,-0.0220,26.9400,-13.9800,-22.9200,40.0000,
1.2630,-0.0235,0.2150,1.0124,-0.0293,-0.0024,-0.0220,26.9400,-13.9800,-22.9200,40.0000,
1.3110,-0.0235,0.2150,1.0124,-0.0293,-0.0024,-0.0220,26.9400,-14.0400,-22.8600,40.0000,
1.3820,-0.0235,0.2150,1.0124,-0.0293,-0.0024,-0.0220,26.7600,-13.8000,-22.8600,40.0000,
1.3860,-0.0508,0.2228,0.9733,-0.0293,-0.0024,-0.0220,26.7600,-13.8000,-22.8600,40.0000,
1.4600,-0.0508,0.2228,0.9733,0.0244,0.0183,0.0098,26.7600,-13.8000,-22.8600,40.0000,
1.4640,-0.0508,0.2228,0.9733,0.0244,0.0183,0.0098,26.7600,-13.8000,-22.8600,40.0000,
1.5120,-0.0508,0.2228,0.9733,0.0244,0.0183,0.0098,26.9400,-13.7400,-22.9200,40.0000,
1.5890,-0.0508,0.2228,0.9733,0.0244,0.0183,0.0098,27.0600,-13.6800,-22.8600,40.0000,
1.5930,-0.0313,0.2189,0.9811,0.0244,0.0183,0.0098,27.0600,-13.6800,-22.8600,40.0000,
1.6600,-0.0313,0.2189,0.9811,0.0049,0.0562,0.0733,27.0600,-13.6800,-22.8600,40.0000,
1.6640,-0.0313,0.2189,0.9811,0.0049,0.0562,0.0733,27.0600,-13.6800,-22.8600,40.0000,
1.7100,-0.0313,0.2189,0.9811,0.0049,0.0562,0.0733,27.1200,-13.5000,-22.7400,40.0000,
1.7880,-0.0313,0.2189,0.9811,0.0049,0.0562,0.0733,27.1200,-13.5600,-22.8000,40.0000,
1.7920,-0.0235,0.2267,0.9694,0.0049,0.0562,0.0733,27.1200,-13.5600,-22.8000,40.0000,
1.8690,-0.0235,0.2267,0.9694,-0.0037,-0.0232,-0.0012,27.1200,-13.5600,-22.8000,40.0000,
1.8700,-0.0235,0.2267,0.9694,-0.0037,-0.0232,-0.0012,27.1200,-13.5600,-22.8000,40.0000,
2.0020,-0.0235,0.2267,0.9694,-0.0037,-0.0232,-0.0012,27.1800,-13.3200,-22.6200,40.0000,
2.0030,-0.0235,0.2267,0.9694,-0.0037,-0.0232,-0.0012,27.4800,-13.5000,-22.3800,40.0000,
2.0030,-0.0274,0.2306,0.9811,-0.0037,-0.0232,-0.0012,27.4800,-13.5000,-22.3800,40.0000,
2.0590,-0.0274,0.2306,0.9811,-0.0073,-0.0073,0.0012,27.4800,-13.5000,-22.3800,40.0000,
2.0600,-0.0274,0.2306,0.9811,-0.0073,-0.0073,0.0012,27.4800,-13.5000,-22.3800,40.0000,
2.1080,-0.0274,0.2306,0.9811,-0.0073,-0.0073,0.0012,27.6000,-13.5600,-22.4400,40.0000,
2.1800,-0.0274,0.2306,0.9811,-0.0073,-0.0073,0.0012,27.9000,-13.9800,-22.5000,40.0000,
2.1840,-0.0117,0.2424,0.9694,-0.0073,-0.0073,0.0012,27.9000,-13.9800,-22.5000,40.0000,
2.2600,-0.0117,0.2424,0.9694,0.0330,0.0086,-0.0012,27.9000,-13.9800,-22.5000,40.0000,
2.2640,-0.0117,0.2424,0.9694,0.0330,0.0086,-0.0012,27.9000,-13.9800,-22.5000,40.0000,
