
time,gfx,gFy,gFz,wx,wy,wz,p,I,Latitude,Longitude,Speed (m/s),
0.1300,0.1138,0.4982,0.7991,0.2262,0.1763,-0.0123,973.1251,30.0000,0.000000,0.000000,0.000000,
0.1320,0.1347,0.4933,0.8619,0.2262,0.1763,-0.0123,973.1251,30.0000,0.000000,0.000000,0.000000,
0.1340,0.0963,0.4705,0.9089,0.2262,0.1763,-0.0123,973.1251,30.0000,0.000000,0.000000,0.000000,
0.1350,0.0525,0.4515,0.8667,0.2262,0.1763,-0.0123,973.1251,30.0000,0.000000,0.000000,0.000000,
0.1370,0.0419,0.4504,0.8316,0.2262,0.1763,-0.0123,973.1251,30.0000,0.000000,0.000000,0.000000,
0.1380,0.0419,0.4504,0.8316,0.2262,0.1763,-0.0123,973.1251,31.3569,0.000000,0.000000,0.000000,
0.1410,0.0419,0.4504,0.8316,0.2262,0.1763,-0.0123,973.1251,32.8564,0.000000,0.000000,0.000000,
0.1420,0.0441,0.4567,0.8087,0.2262,0.1763,-0.0123,973.1251,32.8564,0.000000,0.000000,0.000000,
0.1440,0.0363,0.4593,0.8245,0.2262,0.1763,-0.0123,973.1251,32.8564,0.000000,0.000000,0.000000,
0.1450,0.0173,0.4545,0.8959,0.2262,0.1763,-0.0123,973.1251,32.8564,0.000000,0.000000,0.000000,
0.1470,0.0173,0.4545,0.8959,0.2262,0.1763,-0.0123,973.1251,32.8564,0.000000,0.000000,0.000000,
0.1480,0.0173,0.4545,0.8959,0.0105,0.3313,0.1347,973.1251,32.8564,0.000000,0.000000,0.000000,
0.1500,0.0173,0.4545,0.8959,0.0105,0.3313,0.1347,973.1251,32.8564,0.000000,0.000000,0.000000,
0.1520,0.0173,0.4545,0.8959,0.0105,0.3313,0.1347,973.1276,32.8564,0.000000,0.000000,0.000000,
0.1530,-0.0121,0.4473,0.9163,0.0105,0.3313,0.1347,973.1276,32.8564,0.000000,0.000000,0.000000,
0.1550,-0.0240,0.4367,0.8856,0.0105,0.3313,0.1347,973.1276,32.8564,0.000000,0.000000,0.000000,
0.1570,-0.0240,0.4367,0.8856,0.0105,0.3313,0.1347,973.1276,36.1523,0.000000,0.000000,0.000000,
0.1580,-0.0240,0.4367,0.8856,0.0105,0.3313,0.1347,973.1276,39.6387,0.000000,0.000000,0.000000,
0.1600,-0.0061,0.4358,0.8703,0.0105,0.3313,0.1347,973.1276,39.6387,0.000000,0.000000,0.000000,
0.1620,0.0097,0.4350,0.8803,0.0105,0.3313,0.1347,973.1276,39.6387,0.000000,0.000000,0.000000,
0.1630,0.0290,0.4385,0.9139,0.0105,0.3313,0.1347,973.1276,39.6387,0.000000,0.000000,0.000000,
0.1650,0.0380,0.4343,0.9416,0.0105,0.3313,0.1347,973.1276,39.6387,0.000000,0.000000,0.000000,
0.1660,0.0327,0.4203,0.9167,0.0105,0.3313,0.1347,973.1276,39.6387,0.000000,0.000000,0.000000,
0.1680,0.0327,0.4203,0.9167,0.0105,0.3313,0.1347,973.1276,40.9002,0.000000,0.000000,0.000000,
0.1700,0.0327,0.4203,0.9167,0.0105,0.3313,0.1347,973.1276,41.9044,0.000000,0.000000,0.000000,
0.1720,0.0157,0.4235,0.8498,0.0105,0.3313,0.1347,973.1276,41.9044,0.000000,0.000000,0.000000,
0.1740,-0.0095,0.4367,0.8103,0.0105,0.3313,0.1347,973.1276,41.9044,0.000000,0.000000,0.000000,
0.1750,0.0056,0.4464,0.8390,0.0105,0.3313,0.1347,973.1276,41.9044,0.000000,0.000000,0.000000,
0.1770,0.0056,0.4464,0.8390,-0.2904,0.3346,0.0963,973.1276,41.9044,0.000000,0.000000,0.000000,
0.1790,0.0056,0.4464,0.8390,-0.2904,0.3346,0.0963,973.1276,41.9044,0.000000,0.000000,0.000000,
0.1810,0.0056,0.4464,0.8390,-0.2904,0.3346,0.0963,973.1325,41.9044,0.000000,0.000000,0.000000,
0.1820,0.0056,0.4464,0.8390,-0.2904,0.3346,0.0963,973.1325,41.9044,0.000000,0.000000,0.000000,
0.1830,0.0061,0.4474,0.8895,-0.2904,0.3346,0.0963,973.1325,41.9044,0.000000,0.000000,0.000000,
0.1850,-0.0121,0.4516,0.9137,-0.2904,0.3346,0.0963,973.1325,41.9044,0.000000,0.000000,0.000000,
0.1860,-0.0141,0.4485,0.8903,-0.2904,0.3346,0.0963,973.1325,41.9044,0.000000,0.000000,0.000000,
0.1880,-0.0141,0.4485,0.8903,-0.2904,0.3346,0.0963,973.1325,43.3564,0.000000,0.000000,0.000000,
0.1890,-0.0141,0.4485,0.8903,-0.2904,0.3346,0.0963,973.1325,44.8555,0.000000,0.000000,0.000000,
0.1910,-0.0116,0.4521,0.8548,-0.2904,0.3346,0.0963,973.1325,44.8555,0.000000,0.000000,0.000000,
0.1930,-0.0150,0.4477,0.8275,-0.2904,0.3346,0.0963,973.1325,44.8555,0.000000,0.000000,0.000000,
0.1950,-0.0225,0.4589,0.8289,-0.2904,0.3346,0.0963,973.1325,44.8555,0.000000,0.000000,0.000000,
0.2000,-0.0060,0.4567,0.8563,-0.2904,0.3346,0.0963,973.1325,44.8555,0.000000,0.000000,0.000000,
0.2260,0.0154,0.4532,0.8994,-0.2904,0.3346,0.0963,973.1325,44.8555,0.000000,0.000000,0.000000,
