
time,gfx,gFy,gFz,wx,wy,wz,p,I,Latitude,Longitude,Speed (m/s),
0.0040,0.1737,0.5220,0.7642,0.0503,-0.1534,-0.0648,973.0452,287.9153,0.000000,0.000000,0.000000,
0.0070,0.1841,0.5191,0.7418,0.0503,-0.1534,-0.0648,973.0452,287.9153,0.000000,0.000000,0.000000,
0.0080,0.1918,0.5169,0.7300,0.0503,-0.1534,-0.0648,973.0452,287.9153,0.000000,0.000000,0.000000,
0.0100,0.1918,0.5169,0.7300,0.0503,-0.1534,-0.0648,973.0452,287.0000,0.000000,0.000000,0.000000,
0.0110,0.1918,0.5169,0.7300,0.0503,-0.1534,-0.0648,973.0452,287.0000,0.000000,0.000000,0.000000,
0.0120,0.1932,0.5148,0.7358,0.0503,-0.1534,-0.0648,973.0452,287.0000,0.000000,0.000000,0.000000,
0.0150,0.1932,0.5148,0.7358,-0.0450,-0.0048,0.0774,973.0452,287.0000,0.000000,0.000000,0.000000,
0.0170,0.1932,0.5148,0.7358,-0.0450,-0.0048,0.0774,973.0452,287.0000,0.000000,0.000000,0.000000,
0.0180,0.1932,0.5148,0.7358,-0.0450,-0.0048,0.0774,973.0452,287.0000,0.000000,0.000000,0.000000,
0.0220,0.1882,0.5146,0.7423,-0.0450,-0.0048,0.0774,973.0452,287.0000,0.000000,0.000000,0.000000,
0.0240,0.1687,0.5093,0.7630,-0.0450,-0.0048,0.0774,973.0452,287.0000,0.000000,0.000000,0.000000,
0.0250,0.1434,0.5063,0.7808,-0.0450,-0.0048,0.0774,973.0452,287.0000,0.000000,0.000000,0.000000,
0.0260,0.1157,0.5005,0.8006,-0.0450,-0.0048,0.0774,973.0452,287.0000,0.000000,0.000000,0.000000,
0.0320,0.0888,0.5029,0.8390,-0.0450,-0.0048,0.0774,973.0452,287.0000,0.000000,0.000000,0.000000,
0.0380,0.0655,0.5017,0.8732,-0.0450,-0.0048,0.0774,973.0452,287.0000,0.000000,0.000000,0.000000,
0.0410,0.0503,0.5045,0.8978,-0.0450,-0.0048,0.0774,973.0452,287.0000,0.000000,0.000000,0.000000,
0.0460,0.0413,0.5034,0.9118,-0.0450,-0.0048,0.0774,973.0452,287.0000,0.000000,0.000000,0.000000,
0.0520,0.0400,0.4999,0.9149,-0.0450,-0.0048,0.0774,973.0452,287.0000,0.000000,0.000000,0.000000,
0.0550,0.0420,0.4992,0.9164,-0.0450,-0.0048,0.0774,973.0452,287.0000,0.000000,0.000000,0.000000,
0.0600,0.0461,0.4981,0.9171,-0.0450,-0.0048,0.0774,973.0452,287.0000,0.000000,0.000000,0.000000,
0.0670,0.0491,0.4972,0.9054,-0.0450,-0.0048,0.0774,973.0452,287.0000,0.000000,0.000000,0.000000,
0.0700,0.0472,0.4984,0.8952,-0.0450,-0.0048,0.0774,973.0452,287.0000,0.000000,0.000000,0.000000,
0.0750,0.0395,0.5030,0.8785,-0.0450,-0.0048,0.0774,973.0452,287.0000,0.000000,0.000000,0.000000,
0.0810,0.0354,0.5055,0.8574,-0.0450,-0.0048,0.0774,973.0452,287.0000,0.000000,0.000000,0.000000,
0.0860,0.0288,0.5086,0.8450,-0.0450,-0.0048,0.0774,973.0452,287.0000,0.000000,0.000000,0.000000,
