,time,gfx,gFy,gFz,wx,wy,wz,Bx,By,Bz,Unnamed: 11,label
0,0.006,0.0143,0.4008,0.5604,0.2233,‎-0.4407,‎-0.4187,‎-28.4439,‎-5.0415,‎-30.7419,,swing
1,0.011,0.0143,0.4008,0.5604,0.2233,‎-0.4407,‎-0.4187,‎-28.4439,‎-5.0415,‎-30.7419,,swing
2,0.021,0.0144,0.4479,0.8753,0.2233,‎-0.4407,‎-0.4187,‎-28.4439,‎-5.0415,‎-30.7419,,swing
3,0.045,0.0144,0.4479,0.8753,‎-0.0982,0.4523,‎-0.0352,‎-28.4439,‎-5.0415,‎-30.7419,,swing
4,0.045,0.0144,0.4479,0.8753,‎-0.0982,0.4523,‎-0.0352,‎-28.4439,‎-5.0415,‎-30.7419,,swing
0,0.022,‎-0.1886,0.1531,0.9357,0.2340,‎-0.1662,‎-0.0502,‎-19.6487,3.5889,‎-37.2665,,swing
1,0.024,‎-0.1886,0.1531,0.9357,0.2340,‎-0.1662,‎-0.0502,‎-19.6259,4.2633,‎-36.7035,,swing
2,0.025,‎-0.1886,0.1531,0.9357,‎-0.2253,‎-0.1192,0.0161,‎-19.6259,4.2633,‎-36.7035,,swing
3,0.026,‎-0.1886,0.1531,0.9357,‎-0.2253,‎-0.1192,0.0161,‎-19.6259,4.2633,‎-36.7035,,swing
4,0.027,‎-0.1784,0.1433,0.9686,‎-0.2253,‎-0.1192,0.0161,‎-19.6259,4.2633,‎-36.7035,,swing
0,0.01,0.1480,0.2167,1.039,‎-0.5853,0.2323,‎-0.4240,25.0656,‎-27.8229,‎-27.9160,,texting
1,0.046,0.1480,0.2167,1.039,0.1015,0.1682,‎-0.3792,25.0656,‎-27.8229,‎-27.9160,,texting
2,0.053,0.1480,0.2167,1.039,0.1015,0.1682,‎-0.3792,25.0656,‎-27.8229,‎-27.9160,,texting
3,0.055,0.1480,0.2167,1.039,0.1015,0.1682,‎-0.3792,25.531,‎-27.0462,‎-27.3941,,texting
4,0.066,0.1480,0.2167,1.039,0.1015,0.1682,‎-0.3792,25.531,‎-27.0462,‎-27.3941,,texting
0,0.005,‎-0.0016,0.4067,0.8809,‎-0.1004,‎-0.1138,‎-0.0309,‎-3.1204,12.2726,‎-40.5121,,swing
1,0.037,‎-0.0016,0.4067,0.8809,‎-0.0897,‎-0.1373,0.0000,‎-3.1204,12.2726,‎-40.5121,,swing
2,0.037,‎-0.0016,0.4067,0.8809,‎-0.0897,‎-0.1373,0.0000,‎-3.1204,12.2726,‎-40.5121,,swing
3,0.058,0.0223,0.3938,0.9334,‎-0.0897,‎-0.1373,0.0000,‎-3.1204,12.2726,‎-40.5121,,swing
