
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,
0.0080,0.1082,0.3040,1.2818,0.2393,‎-0.0679,‎-0.1153,978.4137,21.4615,4.7150,‎-37.3718,
0.0090,0.1197,0.3313,1.0929,0.2393,‎-0.0679,‎-0.1153,978.4137,21.4615,4.7150,‎-37.3718,
0.0490,0.1197,0.3313,1.0929,0.2393,‎-0.0679,‎-0.1153,978.4137,22.9950,5.5038,‎-36.3724,
0.0560,0.0609,0.2251,1.0085,0.2393,‎-0.0679,‎-0.1153,978.4137,22.9950,5.5038,‎-36.3724,
0.0580,0.0609,0.2251,1.0085,‎-0.1623,0.4939,‎-0.4475,978.4137,22.9950,5.5038,‎-36.3724,
0.0590,0.0609,0.2251,1.0085,‎-0.1623,0.4939,‎-0.4475,978.4137,22.9950,5.5038,‎-36.3724,
0.1120,‎-0.0207,0.2790,0.7452,‎-0.1623,0.4939,‎-0.4475,978.4137,22.9950,5.5038,‎-36.3724,
0.1290,‎-0.0207,0.2790,0.7452,‎-0.1623,0.4939,‎-0.4475,978.4137,22.9202,5.7571,‎-36.2930,
0.1390,‎-0.0207,0.2790,0.7452,‎-0.1623,0.4939,‎-0.4475,978.3610,22.9202,5.7571,‎-36.2930,
0.1900,‎-0.0207,0.2790,0.7452,‎-0.1623,0.4939,‎-0.4475,978.3610,23.6526,5.6366,‎-36.0001,
0.1920,0.0102,0.2945,0.6798,‎-0.1623,0.4939,‎-0.4475,978.3610,23.6526,5.6366,‎-36.0001,
0.2510,0.0102,0.2945,0.6798,‎-0.1623,0.4939,‎-0.4475,978.3610,25.5325,5.6320,‎-34.8557,
0.2530,‎-0.0414,0.2393,0.7671,‎-0.1623,0.4939,‎-0.4475,978.3610,25.5325,5.6320,‎-34.8557,
0.2580,‎-0.0414,0.2393,0.7671,0.0972,0.6157,‎-0.1538,978.3610,25.5325,5.6320,‎-34.8557,
0.2600,‎-0.0414,0.2393,0.7671,0.0972,0.6157,‎-0.1538,978.3610,25.5325,5.6320,‎-34.8557,
