
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,
0.0060,0.0061,0.4000,0.7046,‎-1.2549,0.8809,0.5368,977.6293,2.3178,8.0933,‎-38.7360,
0.0070,0.0061,0.4000,0.7046,‎-1.2549,0.8809,0.5368,977.6293,2.3178,8.0933,‎-38.7360,
0.0330,0.0061,0.4000,0.7046,‎-1.2549,0.8809,0.5368,977.6293,2.3178,8.0933,‎-38.7360,
0.0700,‎-0.0854,0.4660,1.1316,‎-1.2549,0.8809,0.5368,977.6293,2.3178,8.0933,‎-38.7360,
0.1090,‎-0.0854,0.4660,1.1316,‎-1.2549,0.8809,0.5368,977.6293,5.6183,9.5932,‎-38.4354,
0.1100,‎-0.0854,0.4660,1.1316,‎-1.2549,0.8809,0.5368,977.6948,5.6183,9.5932,‎-38.4354,
0.1380,‎-0.0854,0.4660,1.1316,‎-1.2549,0.8809,0.5368,977.6948,5.6183,9.5932,‎-38.4354,
0.1870,‎-0.0854,0.4660,1.1316,‎-0.2178,‎-0.2353,0.3926,977.6948,5.6183,9.5932,‎-38.4354,
0.1880,‎-0.0854,0.4660,1.1316,‎-0.2178,‎-0.2353,0.3926,977.6948,5.6183,9.5932,‎-38.4354,
0.2220,‎-0.0854,0.4660,1.1316,‎-0.2178,‎-0.2353,0.3926,977.6948,5.6183,9.5932,‎-38.4354,
0.2620,‎-0.1374,0.4501,0.6808,‎-0.2178,‎-0.2353,0.3926,977.6948,5.6183,9.5932,‎-38.4354,
0.2930,‎-0.1374,0.4501,0.6808,‎-0.2178,‎-0.2353,0.3926,977.6948,4.8676,8.8425,‎-38.2858,
0.3020,‎-0.1374,0.4501,0.6808,‎-0.2178,‎-0.2353,0.3926,977.6030,4.8676,8.8425,‎-38.2858,
0.3060,‎-0.1374,0.4501,0.6808,‎-0.2178,‎-0.2353,0.3926,977.6030,4.8676,8.8425,‎-38.2858,
0.3900,‎-0.1374,0.4501,0.6808,0.0525,‎-0.1509,0.0294,977.6030,4.8676,8.8425,‎-38.2858,
0.3910,‎-0.1374,0.4501,0.6808,0.0525,‎-0.1509,0.0294,977.6030,4.8676,8.8425,‎-38.2858,
0.3940,‎-0.1374,0.4501,0.6808,0.0525,‎-0.1509,0.0294,977.6030,4.8676,8.8425,‎-38.2858,
0.4600,0.0387,0.4980,0.8692,0.0525,‎-0.1509,0.0294,977.6030,4.8676,8.8425,‎-38.2858,
0.4980,0.0387,0.4980,0.8692,0.0525,‎-0.1509,0.0294,977.6030,4.4174,9.1431,‎-37.8357,
0.5130,0.0387,0.4980,0.8692,0.0525,‎-0.1509,0.0294,977.6949,4.4174,9.1431,‎-37.8357,
0.5170,0.0387,0.4980,0.8692,0.0525,‎-0.1509,0.0294,977.6949,4.4174,9.1431,‎-37.8357,
0.5850,0.0387,0.4980,0.8692,0.4327,‎-0.2524,‎-0.2964,977.6949,4.4174,9.1431,‎-37.8357,
0.5860,0.0387,0.4980,0.8692,0.4327,‎-0.2524,‎-0.2964,977.6949,4.4174,9.1431,‎-37.8357,
0.5960,0.0387,0.4980,0.8692,0.4327,‎-0.2524,‎-0.2964,977.6949,4.4174,9.1431,‎-37.8357,
0.6840,0.0387,0.4980,0.8692,0.4327,‎-0.2524,‎-0.2964,977.6949,4.4174,9.1431,‎-37.8357,
0.6880,‎-0.0447,0.5331,1.0012,0.4327,‎-0.2524,‎-0.2964,977.6949,4.4174,9.1431,‎-37.8357,
0.6990,‎-0.0447,0.5331,1.0012,0.4327,‎-0.2524,‎-0.2964,977.6949,5.1682,7.1930,‎-37.9852,
0.7090,‎-0.0447,0.5331,1.0012,0.4327,‎-0.2524,‎-0.2964,977.6949,5.1682,7.1930,‎-37.9852,
0.7890,‎-0.0447,0.5331,1.0012,1.1249,‎-0.0612,0.0134,977.6949,5.1682,7.1930,‎-37.9852,
0.8260,‎-0.0447,0.5331,1.0012,1.1249,‎-0.0612,0.0134,977.6949,5.1682,7.1930,‎-37.9852,
0.8420,‎-0.0447,0.5331,1.0012,1.1249,‎-0.0612,0.0134,977.6949,5.1682,7.1930,‎-37.9852,
0.8780,‎-0.0338,0.4071,0.7334,1.1249,‎-0.0612,0.0134,977.6949,5.1682,7.1930,‎-37.9852,
0.8980,‎-0.0338,0.4071,0.7334,1.1249,‎-0.0612,0.0134,977.6949,6.0684,0.5936,‎-38.4354,
0.9070,‎-0.0338,0.4071,0.7334,1.1249,‎-0.0612,0.0134,977.6948,6.0684,0.5936,‎-38.4354,
0.9270,‎-0.0338,0.4071,0.7334,1.1249,‎-0.0612,0.0134,977.6948,6.0684,0.5936,‎-38.4354,
0.9900,‎-0.0338,0.4071,0.7334,0.0621,2.8324,2.0439,977.6948,6.0684,0.5936,‎-38.4354,
0.9950,‎-0.0338,0.4071,0.7334,0.0621,2.8324,2.0439,977.6948,6.0684,0.5936,‎-38.4354,
1.0130,‎-0.0338,0.4071,0.7334,0.0621,2.8324,2.0439,977.6948,6.0684,0.5936,‎-38.4354,
1.0770,‎-0.1686,0.5642,0.5767,0.0621,2.8324,2.0439,977.6948,6.0684,0.5936,‎-38.4354,
1.0900,‎-0.1686,0.5642,0.5767,0.0621,2.8324,2.0439,977.6948,6.0684,0.5936,‎-38.4354,
1.0980,‎-0.1686,0.5642,0.5767,0.0621,2.8324,2.0439,977.6948,21.2173,2.8427,‎-29.7348,
1.1080,‎-0.1686,0.5642,0.5767,0.0621,2.8324,2.0439,977.6949,21.2173,2.8427,‎-29.7348,
1.1730,‎-0.1686,0.5642,0.5767,0.0621,2.8324,2.0439,977.6949,21.2173,2.8427,‎-29.7348,
1.1810,‎-0.1686,0.5642,0.5767,1.0319,4.8639,‎-0.9458,977.6949,21.2173,2.8427,‎-29.7348,
1.1820,‎-0.1686,0.5642,0.5767,1.0319,4.8639,‎-0.9458,977.6949,21.2173,2.8427,‎-29.7348,
1.2620,‎-0.1686,0.5642,0.5767,1.0319,4.8639,‎-0.9458,977.6949,21.2173,2.8427,‎-29.7348,
1.2770,‎-0.5266,0.1264,0.3592,1.0319,4.8639,‎-0.9458,977.6949,21.2173,2.8427,‎-29.7348,
1.2990,‎-0.5266,0.1264,0.3592,1.0319,4.8639,‎-0.9458,977.6949,32.4677,17.5430,‎-4.2358,
1.3100,‎-0.5266,0.1264,0.3592,1.0319,4.8639,‎-0.9458,977.6949,32.4677,17.5430,‎-4.2358,
1.3410,‎-0.5266,0.1264,0.3592,1.0319,4.8639,‎-0.9458,977.6949,32.4677,17.5430,‎-4.2358,
1.3800,‎-0.5266,0.1264,0.3592,‎-2.9244,1.3690,‎-3.6855,977.6949,32.4677,17.5430,‎-4.2358,
1.3810,‎-0.5266,0.1264,0.3592,‎-2.9244,1.3690,‎-3.6855,977.6949,32.4677,17.5430,‎-4.2358,
1.4310,‎-0.5266,0.1264,0.3592,‎-2.9244,1.3690,‎-3.6855,977.6949,32.4677,17.5430,‎-4.2358,
1.4780,‎-1.0124,‎-0.3557,0.2726,‎-2.9244,1.3690,‎-3.6855,977.6949,32.4677,17.5430,‎-4.2358,
1.5070,‎-1.0124,‎-0.3557,0.2726,‎-2.9244,1.3690,‎-3.6855,977.6949,12.3672,36.1435,20.6650,
1.5120,‎-1.0124,‎-0.3557,0.2726,‎-2.9244,1.3690,‎-3.6855,977.6949,12.3672,36.1435,20.6650,
1.5160,‎-1.0124,‎-0.3557,0.2726,‎-2.9244,1.3690,‎-3.6855,977.6949,12.3672,36.1435,20.6650,
1.5840,‎-1.0124,‎-0.3557,0.2726,0.8365,1.0881,‎-0.8967,977.6949,12.3672,36.1435,20.6650,
1.5900,‎-1.0124,‎-0.3557,0.2726,0.8365,1.0881,‎-0.8967,977.6949,12.3672,36.1435,20.6650,
1.5950,‎-1.0124,‎-0.3557,0.2726,0.8365,1.0881,‎-0.8967,977.6949,12.3672,36.1435,20.6650,
1.6810,‎-1.0124,‎-0.3557,0.2726,0.8365,1.0881,‎-0.8967,977.6949,12.3672,36.1435,20.6650,
1.6860,‎-1.6381,‎-0.5431,0.5399,0.8365,1.0881,‎-0.8967,977.6949,12.3672,36.1435,20.6650,
1.7060,‎-1.6381,‎-0.5431,0.5399,0.8365,1.0881,‎-0.8967,977.6949,‎-1.1322,40.7928,22.1649,
1.7200,‎-1.6381,‎-0.5431,0.5399,0.8365,1.0881,‎-0.8967,977.7211,‎-1.1322,40.7928,22.1649,
1.7630,‎-1.6381,‎-0.5431,0.5399,0.8365,1.0881,‎-0.8967,977.7211,‎-1.1322,40.7928,22.1649,
1.7860,‎-1.6381,‎-0.5431,0.5399,1.4047,0.4163,1.3571,977.7211,‎-1.1322,40.7928,22.1649,
1.7900,‎-1.6381,‎-0.5431,0.5399,1.4047,0.4163,1.3571,977.7211,‎-1.1322,40.7928,22.1649,
1.8550,‎-1.6381,‎-0.5431,0.5399,1.4047,0.4163,1.3571,977.7211,‎-1.1322,40.7928,22.1649,
1.8760,‎-1.1277,‎-0.4339,0.1230,1.4047,0.4163,1.3571,977.7211,‎-1.1322,40.7928,22.1649,
1.9040,‎-1.1277,‎-0.4339,0.1230,1.4047,0.4163,1.3571,977.7211,10.4172,38.8428,13.3148,
1.9140,‎-1.1277,‎-0.4339,0.1230,1.4047,0.4163,1.3571,977.6556,10.4172,38.8428,13.3148,
1.9230,‎-1.1277,‎-0.4339,0.1230,1.4047,0.4163,1.3571,977.6556,10.4172,38.8428,13.3148,
1.9770,‎-1.1277,‎-0.4339,0.1230,1.4047,0.4163,1.3571,977.6556,10.4172,38.8428,13.3148,
