
time,gfx,gFy,gFz,wx,wy,wz,Bx,By,Bz,I,
0.0030,-0.0665,0.1642,0.9811,0.1393,-0.1588,-0.1026,25.3200,3.8400,-29.2200,0.0000,
0.0070,-0.0665,0.1642,0.9811,0.1393,-0.1588,-0.1026,25.5600,3.9600,-29.1600,0.0000,
0.0080,-0.0704,0.1759,0.9850,0.1393,-0.1588,-0.1026,25.5600,3.9600,-29.1600,0.0000,
0.0380,-0.0704,0.1759,0.9694,0.1393,-0.1588,-0.1026,25.5600,3.9600,-29.1600,0.0000,
0.0520,-0.0665,0.1759,0.9733,0.1393,-0.1588,-0.1026,25.5600,3.9600,-29.1600,0.0000,
0.0640,-0.0665,0.1759,0.9733,-0.0977,0.2138,-0.0122,25.5600,3.9600,-29.1600,0.0000,
0.0660,-0.0665,0.1759,0.9733,-0.0977,0.2138,-0.0122,25.5600,3.9600,-29.1600,0.0000,
0.0670,-0.0665,0.1759,0.9733,-0.0977,0.2138,-0.0122,26.1000,3.5400,-28.6200,0.0000,
0.0680,-0.0586,0.1720,0.9655,-0.0977,0.2138,-0.0122,26.1000,3.5400,-28.6200,0.0000,
0.0970,-0.0586,0.1681,0.9694,-0.0977,0.2138,-0.0122,26.1000,3.5400,-28.6200,0.0000,
0.1130,-0.0469,0.1642,0.9890,-0.0977,0.2138,-0.0122,26.1000,3.5400,-28.6200,0.0000,
0.1300,-0.0469,0.1564,1.0007,-0.0977,0.2138,-0.0122,26.1000,3.5400,-28.6200,0.0000,
0.1470,-0.0469,0.1524,1.0085,-0.0977,0.2138,-0.0122,26.1000,3.5400,-28.6200,0.0000,
0.1790,-0.0430,0.1446,1.0124,-0.0977,0.2138,-0.0122,26.1000,3.5400,-28.6200,0.0000,
0.1960,-0.0469,0.1524,0.9968,-0.0977,0.2138,-0.0122,26.1000,3.5400,-28.6200,0.0000,
0.1970,-0.0469,0.1524,0.9968,-0.0977,0.2138,-0.0122,26.5200,3.5400,-28.1400,0.0000,
0.2120,-0.0469,0.1564,0.9850,-0.0977,0.2138,-0.0122,26.5200,3.5400,-28.1400,0.0000,
0.2340,-0.0430,0.1564,0.9850,-0.0977,0.2138,-0.0122,26.5200,3.5400,-28.1400,0.0000,
0.2780,-0.0430,0.1524,0.9890,-0.0977,0.2138,-0.0122,26.5200,3.5400,-28.1400,0.0000,
0.2800,-0.0430,0.1524,0.9890,-0.0611,-0.0855,-0.0110,26.5200,3.5400,-28.1400,0.0000,
0.2820,-0.0430,0.1524,0.9890,-0.0611,-0.0855,-0.0110,26.5200,3.5400,-28.1400,0.0000,
0.2830,-0.0430,0.1524,0.9890,-0.0611,-0.0855,-0.0110,26.8200,3.5400,-27.9000,0.0000,
0.2870,-0.0469,0.1524,0.9890,-0.0611,-0.0855,-0.0110,26.8200,3.5400,-27.9000,0.0000,
0.2880,-0.0313,0.1524,0.9929,-0.0611,-0.0855,-0.0110,26.8200,3.5400,-27.9000,0.0000,
0.3080,-0.0313,0.1524,1.0007,-0.0611,-0.0855,-0.0110,26.8200,3.5400,-27.9000,0.0000,
0.3290,-0.0274,0.1524,0.9968,-0.0611,-0.0855,-0.0110,26.8200,3.5400,-27.9000,0.0000,
0.3520,-0.0313,0.1524,0.9929,-0.0611,-0.0855,-0.0110,26.8200,3.5400,-27.9000,0.0000,
0.3670,-0.0313,0.1524,0.9968,-0.0611,-0.0855,-0.0110,26.8200,3.5400,-27.9000,0.0000,
0.3890,-0.0274,0.1524,0.9968,-0.0611,-0.0855,-0.0110,26.8200,3.5400,-27.9000,0.0000,
0.3930,-0.0274,0.1524,0.9968,-0.0611,-0.0855,-0.0110,26.8800,3.4800,-27.6600,0.0000,
0.4170,-0.0195,0.1407,0.9968,-0.0611,-0.0855,-0.0110,26.8800,3.4800,-27.6600,0.0000,
0.4310,-0.0117,0.1329,1.0046,-0.0611,-0.0855,-0.0110,26.8800,3.4800,-27.6600,0.0000,
0.4510,-0.0039,0.1368,0.9929,-0.0611,-0.0855,-0.0110,26.8800,3.4800,-27.6600,0.0000,
0.4590,-0.0039,0.1368,0.9929,0.0855,-0.0965,-0.0489,26.8800,3.4800,-27.6600,0.0000,
0.4640,-0.0039,0.1368,0.9929,0.0855,-0.0965,-0.0489,26.8800,3.4800,-27.6600,0.0000,
0.4730,-0.0039,0.1368,0.9929,0.0855,-0.0965,-0.0489,26.7000,3.7200,-27.8400,0.0000,
0.4780,0.0000,0.1329,0.9890,0.0855,-0.0965,-0.0489,26.7000,3.7200,-27.8400,0.0000,
0.4910,0.0039,0.0860,0.9968,0.0855,-0.0965,-0.0489,26.7000,3.7200,-27.8400,0.0000,
0.5190,0.0156,0.1134,1.0007,0.0855,-0.0965,-0.0489,26.7000,3.7200,-27.8400,0.0000,
0.5290,0.0352,0.1407,0.9616,0.0855,-0.0965,-0.0489,26.7000,3.7200,-27.8400,0.0000,
0.5510,0.0469,0.1134,0.9499,0.0855,-0.0965,-0.0489,26.7000,3.7200,-27.8400,0.0000,
0.5700,0.0235,0.1290,0.9499,0.0855,-0.0965,-0.0489,26.7000,3.7200,-27.8400,0.0000,
0.6000,0.0039,0.1603,0.9655,0.0855,-0.0965,-0.0489,26.7000,3.7200,-27.8400,0.0000,
0.6070,0.0039,0.1603,0.9655,0.0855,-0.0965,-0.0489,26.3400,3.8400,-28.0200,0.0000,
0.6100,-0.0430,0.1837,0.9811,0.0855,-0.0965,-0.0489,26.3400,3.8400,-28.0200,0.0000,
0.6300,-0.0938,0.2384,0.9811,0.0855,-0.0965,-0.0489,26.3400,3.8400,-28.0200,0.0000,
0.6590,-0.1134,0.2697,0.9890,0.0855,-0.0965,-0.0489,26.3400,3.8400,-28.0200,0.0000,
0.6630,-0.1134,0.2697,0.9890,0.2199,-0.0476,-0.1723,26.3400,3.8400,-28.0200,0.0000,
0.6710,-0.1134,0.2697,0.9890,0.2199,-0.0476,-0.1723,26.3400,3.8400,-28.0200,0.0000,
0.6750,-0.1134,0.2697,0.9890,0.2199,-0.0476,-0.1723,26.4000,4.2000,-28.3800,0.0000,
0.8360,-0.1055,0.2619,1.0007,0.2199,-0.0476,-0.1723,26.4000,4.2000,-28.3800,0.0000,
0.8370,-0.0899,0.2424,1.0046,0.2199,-0.0476,-0.1723,26.4000,4.2000,-28.3800,0.0000,
0.8380,-0.0195,0.1876,0.9890,0.2199,-0.0476,-0.1723,26.4000,4.2000,-28.3800,0.0000,
0.8390,0.0078,0.1603,0.9890,0.2199,-0.0476,-0.1723,26.4000,4.2000,-28.3800,0.0000,
0.8400,0.0508,0.1368,0.9850,0.2199,-0.0476,-0.1723,26.4000,4.2000,-28.3800,0.0000,
0.8410,0.0117,0.1368,0.9968,0.2199,-0.0476,-0.1723,26.4000,4.2000,-28.3800,0.0000,
0.8420,-0.0039,0.1603,1.0163,0.2199,-0.0476,-0.1723,26.4000,4.2000,-28.3800,0.0000,
0.8430,-0.0039,0.1603,1.0163,0.2199,-0.0476,-0.1723,26.3400,4.4400,-28.5000,0.0000,
0.8440,-0.0195,0.1876,1.0046,0.2199,-0.0476,-0.1723,26.3400,4.4400,-28.5000,0.0000,
0.8460,-0.0235,0.1603,0.9890,0.2199,-0.0476,-0.1723,26.3400,4.4400,-28.5000,0.0000,
0.8470,-0.0313,0.1837,0.9733,0.2199,-0.0476,-0.1723,26.3400,4.4400,-28.5000,0.0000,
0.8560,-0.0313,0.1837,0.9733,0.2199,-0.0476,-0.1723,26.2200,4.9200,-28.5600,0.0000,
0.8570,-0.0313,0.1837,0.9733,0.3421,0.1784,-0.4740,26.2200,4.9200,-28.5600,0.0000,
0.8570,-0.0313,0.1837,0.9733,0.3421,0.1784,-0.4740,26.2200,4.9200,-28.5600,0.0000,
0.8660,-0.0977,0.2111,0.9655,0.3421,0.1784,-0.4740,26.2200,4.9200,-28.5600,0.0000,
0.8880,-0.1212,0.2267,0.9694,0.3421,0.1784,-0.4740,26.2200,4.9200,-28.5600,0.0000,
0.9060,-0.1251,0.2306,0.9420,0.3421,0.1784,-0.4740,26.2200,4.9200,-28.5600,0.0000,
0.9260,-0.0938,0.2033,1.0007,0.3421,0.1784,-0.4740,26.2200,4.9200,-28.5600,0.0000,
0.9460,-0.0938,0.1994,0.9890,0.3421,0.1784,-0.4740,26.2200,4.9200,-28.5600,0.0000,
0.9660,-0.1134,0.1954,0.9929,0.3421,0.1784,-0.4740,26.2200,4.9200,-28.5600,0.0000,
0.9930,-0.0821,0.2189,0.9890,0.3421,0.1784,-0.4740,26.2200,4.9200,-28.5600,0.0000,
0.9930,-0.0821,0.2189,0.9890,0.3421,0.1784,-0.4740,26.2200,5.2200,-28.8600,0.0000,
1.0080,-0.1134,0.1681,1.0046,0.3421,0.1784,-0.4740,26.2200,5.2200,-28.8600,0.0000,
1.0310,-0.1173,0.1564,0.9929,0.3421,0.1784,-0.4740,26.2200,5.2200,-28.8600,0.0000,
1.0530,-0.1094,0.1603,0.9850,0.3421,0.1784,-0.4740,26.2200,5.2200,-28.8600,0.0000,
1.0580,-0.1094,0.1603,0.9850,0.3421,0.1784,-0.4740,26.1600,5.8200,-28.8600,0.0000,
1.0600,-0.1094,0.1603,0.9850,0.2981,0.7135,-0.2101,26.1600,5.8200,-28.8600,0.0000,
1.0710,-0.1094,0.1603,0.9850,0.2981,0.7135,-0.2101,26.1600,5.8200,-28.8600,0.0000,
1.0730,-0.0977,0.1564,0.9811,0.2981,0.7135,-0.2101,26.1600,5.8200,-28.8600,0.0000,
1.0870,-0.0821,0.1798,0.9811,0.2981,0.7135,-0.2101,26.1600,5.8200,-28.8600,0.0000,
1.1060,-0.0860,0.2033,0.9655,0.2981,0.7135,-0.2101,26.1600,5.8200,-28.8600,0.0000,
1.1260,-0.0977,0.2150,0.9538,0.2981,0.7135,-0.2101,26.1600,5.8200,-28.8600,0.0000,
1.1480,-0.1016,0.1837,0.9577,0.2981,0.7135,-0.2101,26.1600,5.8200,-28.8600,0.0000,
1.1660,-0.1016,0.1681,0.9655,0.2981,0.7135,-0.2101,26.1600,5.8200,-28.8600,0.0000,
1.1840,-0.1016,0.1681,0.9655,0.2981,0.7135,-0.2101,26.3400,6.1800,-28.7400,0.0000,
1.1860,-0.0977,0.1720,0.9694,0.2981,0.7135,-0.2101,26.3400,6.1800,-28.7400,0.0000,
1.2060,-0.0938,0.1759,0.9733,0.2981,0.7135,-0.2101,26.3400,6.1800,-28.7400,0.0000,
1.2300,-0.0782,0.1642,0.9694,0.2981,0.7135,-0.2101,26.3400,6.1800,-28.7400,0.0000,
1.2460,-0.0665,0.1798,0.9733,0.2981,0.7135,-0.2101,26.3400,6.1800,-28.7400,0.0000,
1.2560,-0.0665,0.1798,0.9733,0.1332,-0.1283,-0.2272,26.3400,6.1800,-28.7400,0.0000,
1.2570,-0.0665,0.1798,0.9733,0.1332,-0.1283,-0.2272,26.3400,6.1800,-28.7400,0.0000,
1.2660,-0.0704,0.1954,0.9694,0.1332,-0.1283,-0.2272,26.3400,6.1800,-28.7400,0.0000,
1.2890,-0.0704,0.1954,0.9616,0.1332,-0.1283,-0.2272,26.3400,6.1800,-28.7400,0.0000,
1.3140,-0.0625,0.1837,0.9811,0.1332,-0.1283,-0.2272,26.3400,6.1800,-28.7400,0.0000,
1.3190,-0.0625,0.1837,0.9811,0.1332,-0.1283,-0.2272,26.4600,6.4200,-28.5000,0.0000,
1.3320,-0.0665,0.1759,0.9772,0.1332,-0.1283,-0.2272,26.4600,6.4200,-28.5000,0.0000,
1.3510,-0.0665,0.1759,0.9733,0.1332,-0.1283,-0.2272,26.4600,6.4200,-28.5000,0.0000,
1.3700,-0.0665,0.1798,0.9733,0.1332,-0.1283,-0.2272,26.4600,6.4200,-28.5000,0.0000,
1.4000,-0.0665,0.1798,0.9733,0.1332,-0.1283,-0.2272,26.5200,7.2000,-28.5600,0.0000,
1.4080,-0.0625,0.1837,0.9890,0.1332,-0.1283,-0.2272,26.5200,7.2000,-28.5600,0.0000,
1.6060,-0.0625,0.1759,0.9850,0.1332,-0.1283,-0.2272,26.5200,7.2000,-28.5600,0.0000,
1.6080,-0.0586,0.1720,0.9850,0.1332,-0.1283,-0.2272,26.5200,7.2000,-28.5600,0.0000,
1.6090,-0.0586,0.1759,0.9890,0.1332,-0.1283,-0.2272,26.5200,7.2000,-28.5600,0.0000,
1.6110,-0.0586,0.1759,0.9890,0.0623,-0.3763,-0.4191,26.5200,7.2000,-28.5600,0.0000,
1.6120,-0.0586,0.1759,0.9890,0.0623,-0.3763,-0.4191,26.5200,7.2000,-28.5600,0.0000,
1.6140,-0.0586,0.1759,0.9968,0.0623,-0.3763,-0.4191,26.5200,7.2000,-28.5600,0.0000,
1.6150,-0.0586,0.1681,0.9929,0.0623,-0.3763,-0.4191,26.5200,7.2000,-28.5600,0.0000,
1.6160,-0.0547,0.1603,0.9929,0.0623,-0.3763,-0.4191,26.5200,7.2000,-28.5600,0.0000,
1.6180,-0.0547,0.1603,0.9929,0.0623,-0.3763,-0.4191,26.5200,7.9200,-28.5000,0.0000,
1.6190,-0.0508,0.1564,0.9968,0.0623,-0.3763,-0.4191,26.5200,7.9200,-28.5000,0.0000,
1.6210,-0.0430,0.1564,0.9968,0.0623,-0.3763,-0.4191,26.5200,7.9200,-28.5000,0.0000,
1.6220,-0.0391,0.1564,1.0046,0.0623,-0.3763,-0.4191,26.5200,7.9200,-28.5000,0.0000,
1.6260,-0.0235,0.1564,1.0085,0.0623,-0.3763,-0.4191,26.5200,7.9200,-28.5000,0.0000,
1.6460,-0.0195,0.1564,0.9968,0.0623,-0.3763,-0.4191,26.5200,7.9200,-28.5000,0.0000,
1.6560,-0.0195,0.1564,0.9968,0.0195,-0.2712,-0.1344,26.5200,7.9200,-28.5000,0.0000,
1.6570,-0.0195,0.1564,0.9968,0.0195,-0.2712,-0.1344,26.5200,7.9200,-28.5000,0.0000,
1.6680,-0.0078,0.1564,0.9850,0.0195,-0.2712,-0.1344,26.5200,7.9200,-28.5000,0.0000,
1.6910,-0.0039,0.1564,0.9772,0.0195,-0.2712,-0.1344,26.5200,7.9200,-28.5000,0.0000,
1.7090,-0.0039,0.1642,0.9850,0.0195,-0.2712,-0.1344,26.5200,7.9200,-28.5000,0.0000,
1.7180,-0.0039,0.1642,0.9850,0.0195,-0.2712,-0.1344,25.8600,9.6600,-28.9200,0.0000,
1.7290,-0.0039,0.1681,0.9929,0.0195,-0.2712,-0.1344,25.8600,9.6600,-28.9200,0.0000,
1.7490,0.0078,0.1681,1.0046,0.0195,-0.2712,-0.1344,25.8600,9.6600,-28.9200,0.0000,
