
time,gfx,gFy,gFz,wx,wy,wz,Bx,By,Bz,I,
0.0080,0.0235,0.2345,0.9460,-0.2224,0.0305,0.0171,-5.6400,-23.2200,-17.1600,160.0000,
0.0090,0.0313,0.2502,0.9655,-0.2224,0.0305,0.0171,-5.6400,-23.2200,-17.1600,160.0000,
0.0390,0.0430,0.2345,0.9694,-0.2224,0.0305,0.0171,-5.6400,-23.2200,-17.1600,160.0000,
0.0500,0.0430,0.2424,0.9655,-0.2224,0.0305,0.0171,-5.6400,-23.2200,-17.1600,160.0000,
0.0640,0.0430,0.2424,0.9655,-0.2224,0.0305,0.0171,-5.4600,-23.5200,-17.0400,160.0000,
0.0790,0.0469,0.2541,0.9538,-0.2224,0.0305,0.0171,-5.4600,-23.5200,-17.0400,160.0000,
0.0970,0.0430,0.2463,0.9538,-0.2224,0.0305,0.0171,-5.4600,-23.5200,-17.0400,160.0000,
0.1120,0.0352,0.2345,0.9655,-0.2224,0.0305,0.0171,-5.4600,-23.5200,-17.0400,160.0000,
0.1290,0.0352,0.2345,0.9655,-0.2224,0.0305,0.0171,-5.2200,-23.2800,-16.7400,160.0000,
0.1300,0.0313,0.2267,0.9772,-0.2224,0.0305,0.0171,-5.2200,-23.2800,-16.7400,160.0000,
0.1610,0.0313,0.2228,0.9890,-0.2224,0.0305,0.0171,-5.2200,-23.2800,-16.7400,160.0000,
0.1620,0.0313,0.2228,0.9890,-0.0073,-0.0147,-0.0379,-5.2200,-23.2800,-16.7400,160.0000,
0.1630,0.0313,0.2228,0.9890,-0.0073,-0.0147,-0.0379,-5.2200,-23.2800,-16.7400,160.0000,
0.1780,0.0430,0.2267,0.9929,-0.0073,-0.0147,-0.0379,-5.2200,-23.2800,-16.7400,160.0000,
0.1950,0.0430,0.2384,0.9890,-0.0073,-0.0147,-0.0379,-5.2200,-23.2800,-16.7400,160.0000,
0.2110,0.0391,0.2384,0.9811,-0.0073,-0.0147,-0.0379,-5.2200,-23.2800,-16.7400,160.0000,
0.2280,0.0430,0.2424,0.9694,-0.0073,-0.0147,-0.0379,-5.2200,-23.2800,-16.7400,160.0000,
0.2620,0.0430,0.2384,0.9733,-0.0073,-0.0147,-0.0379,-5.2200,-23.2800,-16.7400,160.0000,
0.2630,0.0430,0.2384,0.9733,-0.0073,-0.0147,-0.0379,-5.1000,-23.1000,-16.7400,160.0000,
0.2830,0.0391,0.2424,0.9772,-0.0073,-0.0147,-0.0379,-5.1000,-23.1000,-16.7400,160.0000,
0.2960,0.0391,0.2424,0.9733,-0.0073,-0.0147,-0.0379,-5.1000,-23.1000,-16.7400,160.0000,
0.3120,0.0352,0.2384,0.9577,-0.0073,-0.0147,-0.0379,-5.1000,-23.1000,-16.7400,160.0000,
0.3210,0.0352,0.2384,0.9577,-0.0073,-0.0147,-0.0379,-4.7400,-22.8600,-16.5600,160.0000,
0.3280,0.0313,0.2306,0.9577,-0.0073,-0.0147,-0.0379,-4.7400,-22.8600,-16.5600,160.0000,
0.3480,0.0352,0.2306,0.9577,-0.0073,-0.0147,-0.0379,-4.7400,-22.8600,-16.5600,160.0000,
0.3590,0.0352,0.2306,0.9577,-0.0171,-0.0403,-0.0599,-4.7400,-22.8600,-16.5600,160.0000,
0.3600,0.0352,0.2306,0.9577,-0.0171,-0.0403,-0.0599,-4.7400,-22.8600,-16.5600,160.0000,
0.3680,0.0352,0.2384,0.9616,-0.0171,-0.0403,-0.0599,-4.7400,-22.8600,-16.5600,160.0000,
0.3920,0.0430,0.2345,0.9733,-0.0171,-0.0403,-0.0599,-4.7400,-22.8600,-16.5600,160.0000,
0.4120,0.0391,0.2345,0.9772,-0.0171,-0.0403,-0.0599,-4.7400,-22.8600,-16.5600,160.0000,
0.4310,0.0352,0.2306,0.9890,-0.0171,-0.0403,-0.0599,-4.7400,-22.8600,-16.5600,160.0000,
0.4510,0.0391,0.2228,1.0007,-0.0171,-0.0403,-0.0599,-4.7400,-22.8600,-16.5600,160.0000,
0.4600,0.0391,0.2228,1.0007,-0.0171,-0.0403,-0.0599,-4.5000,-22.9800,-16.6800,160.0000,
0.4710,0.0430,0.2384,0.9929,-0.0171,-0.0403,-0.0599,-4.5000,-22.9800,-16.6800,160.0000,
0.4910,0.0469,0.2306,0.9968,-0.0171,-0.0403,-0.0599,-4.5000,-22.9800,-16.6800,160.0000,
0.5120,0.0508,0.2345,0.9850,-0.0171,-0.0403,-0.0599,-4.5000,-22.9800,-16.6800,160.0000,
0.6440,0.0508,0.2345,0.9850,-0.0171,-0.0403,-0.0599,-4.4400,-22.9200,-16.6800,160.0000,
0.6460,0.0430,0.2345,0.9694,-0.0171,-0.0403,-0.0599,-4.4400,-22.9200,-16.6800,160.0000,
0.6480,0.0469,0.2345,0.9694,-0.0171,-0.0403,-0.0599,-4.4400,-22.9200,-16.6800,160.0000,
0.6490,0.0469,0.2345,0.9694,0.0049,-0.0342,-0.0147,-4.4400,-22.9200,-16.6800,160.0000,
0.6500,0.0469,0.2345,0.9694,0.0049,-0.0342,-0.0147,-4.4400,-22.9200,-16.6800,160.0000,
0.6520,0.0469,0.2463,0.9694,0.0049,-0.0342,-0.0147,-4.4400,-22.9200,-16.6800,160.0000,
0.6530,0.0547,0.2384,0.9733,0.0049,-0.0342,-0.0147,-4.4400,-22.9200,-16.6800,160.0000,
0.6540,0.0469,0.2306,0.9733,0.0049,-0.0342,-0.0147,-4.4400,-22.9200,-16.6800,160.0000,
0.6580,0.0430,0.2228,0.9733,0.0049,-0.0342,-0.0147,-4.4400,-22.9200,-16.6800,160.0000,
0.6630,0.0430,0.2267,0.9655,0.0049,-0.0342,-0.0147,-4.4400,-22.9200,-16.6800,160.0000,
0.6660,0.0430,0.2267,0.9655,0.0049,-0.0342,-0.0147,-4.2600,-22.7400,-16.6200,160.0000,
0.6690,0.0469,0.2345,0.9616,0.0049,-0.0342,-0.0147,-4.2600,-22.7400,-16.6200,160.0000,
0.6930,0.0430,0.2345,0.9655,0.0049,-0.0342,-0.0147,-4.2600,-22.7400,-16.6200,160.0000,
0.7100,0.0469,0.2228,0.9772,0.0049,-0.0342,-0.0147,-4.2600,-22.7400,-16.6200,160.0000,
0.7170,0.0469,0.2228,0.9772,0.0049,-0.0342,-0.0147,-4.2600,-22.9200,-16.6200,160.0000,
0.7290,0.0430,0.2150,0.9811,0.0049,-0.0342,-0.0147,-4.2600,-22.9200,-16.6200,160.0000,
0.7590,0.0430,0.2150,0.9811,0.0476,-0.0440,-0.0024,-4.2600,-22.9200,-16.6200,160.0000,
0.7620,0.0430,0.2150,0.9811,0.0476,-0.0440,-0.0024,-4.2600,-22.9200,-16.6200,160.0000,
0.7700,0.0469,0.2189,0.9733,0.0476,-0.0440,-0.0024,-4.2600,-22.9200,-16.6200,160.0000,
0.7890,0.0469,0.2228,0.9616,0.0476,-0.0440,-0.0024,-4.2600,-22.9200,-16.6200,160.0000,
0.8100,0.0469,0.2228,0.9577,0.0476,-0.0440,-0.0024,-4.2600,-22.9200,-16.6200,160.0000,
0.8290,0.0430,0.2228,0.9577,0.0476,-0.0440,-0.0024,-4.2600,-22.9200,-16.6200,160.0000,
0.8500,0.0430,0.2228,0.9577,0.0476,-0.0440,-0.0024,-4.3800,-22.8600,-16.8600,160.0000,
0.8530,0.0391,0.2228,0.9811,0.0476,-0.0440,-0.0024,-4.3800,-22.8600,-16.8600,160.0000,
0.8700,0.0469,0.2072,0.9850,0.0476,-0.0440,-0.0024,-4.3800,-22.8600,-16.8600,160.0000,
0.8900,0.0430,0.2189,0.9811,0.0476,-0.0440,-0.0024,-4.3800,-22.8600,-16.8600,160.0000,
0.9380,0.0469,0.2189,0.9772,0.0476,-0.0440,-0.0024,-4.3800,-22.8600,-16.8600,160.0000,
0.9420,0.0469,0.2189,0.9772,0.0476,-0.0440,-0.0024,-4.8600,-23.0400,-16.9200,160.0000,
0.9480,0.0469,0.2384,0.9616,0.0476,-0.0440,-0.0024,-4.8600,-23.0400,-16.9200,160.0000,
0.9520,0.0508,0.2502,0.9616,0.0476,-0.0440,-0.0024,-4.8600,-23.0400,-16.9200,160.0000,
0.9620,0.0508,0.2502,0.9616,0.2443,0.0073,0.0489,-4.8600,-23.0400,-16.9200,160.0000,
0.9650,0.0508,0.2502,0.9616,0.2443,0.0073,0.0489,-4.8600,-23.0400,-16.9200,160.0000,
0.9710,0.0586,0.2541,0.9694,0.2443,0.0073,0.0489,-4.8600,-23.0400,-16.9200,160.0000,
0.9910,0.0586,0.2736,0.9811,0.2443,0.0073,0.0489,-4.8600,-23.0400,-16.9200,160.0000,
1.0210,0.0625,0.2775,1.0007,0.2443,0.0073,0.0489,-4.8600,-23.0400,-16.9200,160.0000,
1.0310,0.0625,0.2697,1.0085,0.2443,0.0073,0.0489,-4.8600,-23.0400,-16.9200,160.0000,
1.0510,0.0625,0.2697,1.0085,0.2443,0.0073,0.0489,-4.9200,-23.0400,-16.9200,160.0000,
1.0570,0.0625,0.2541,1.0124,0.2443,0.0073,0.0489,-4.9200,-23.0400,-16.9200,160.0000,
1.0710,0.0704,0.2580,1.0163,0.2443,0.0073,0.0489,-4.9200,-23.0400,-16.9200,160.0000,
1.0910,0.0704,0.2619,1.0124,0.2443,0.0073,0.0489,-4.9200,-23.0400,-16.9200,160.0000,
1.1120,0.0665,0.2658,0.9968,0.2443,0.0073,0.0489,-4.9200,-23.0400,-16.9200,160.0000,
1.1170,0.0665,0.2658,0.9968,0.2443,0.0073,0.0489,-5.0400,-23.2200,-16.9200,160.0000,
1.1310,0.0625,0.2619,0.9733,0.2443,0.0073,0.0489,-5.0400,-23.2200,-16.9200,160.0000,
1.1520,0.0704,0.2619,0.9694,0.2443,0.0073,0.0489,-5.0400,-23.2200,-16.9200,160.0000,
1.1640,0.0704,0.2619,0.9694,0.2431,-0.0696,0.0061,-5.0400,-23.2200,-16.9200,160.0000,
1.1690,0.0704,0.2619,0.9694,0.2431,-0.0696,0.0061,-5.0400,-23.2200,-16.9200,160.0000,
1.1730,0.0704,0.2619,0.9616,0.2431,-0.0696,0.0061,-5.0400,-23.2200,-16.9200,160.0000,
1.1910,0.0704,0.2580,0.9420,0.2431,-0.0696,0.0061,-5.0400,-23.2200,-16.9200,160.0000,
1.2080,0.0665,0.2619,0.9420,0.2431,-0.0696,0.0061,-5.0400,-23.2200,-16.9200,160.0000,
1.2310,0.0704,0.2580,0.9420,0.2431,-0.0696,0.0061,-5.0400,-23.2200,-16.9200,160.0000,
1.4180,0.0704,0.2580,0.9420,0.2431,-0.0696,0.0061,-5.2200,-23.4600,-16.5600,160.0000,
1.4190,0.0665,0.2658,0.9381,0.2431,-0.0696,0.0061,-5.2200,-23.4600,-16.5600,160.0000,
1.4200,0.0665,0.2775,0.9303,0.2431,-0.0696,0.0061,-5.2200,-23.4600,-16.5600,160.0000,
1.4210,0.0665,0.2736,0.9264,0.2431,-0.0696,0.0061,-5.2200,-23.4600,-16.5600,160.0000,
1.4220,0.0625,0.2697,0.9303,0.2431,-0.0696,0.0061,-5.2200,-23.4600,-16.5600,160.0000,
1.4230,0.0625,0.2697,0.9303,0.2431,-0.0696,0.0061,-5.2800,-23.7600,-16.2600,160.0000,
1.4240,0.0625,0.2697,0.9420,0.2431,-0.0696,0.0061,-5.2800,-23.7600,-16.2600,160.0000,
1.4240,0.0586,0.2853,0.9420,0.2431,-0.0696,0.0061,-5.2800,-23.7600,-16.2600,160.0000,
1.4250,0.0586,0.2853,0.9420,0.0611,-0.0134,-0.0012,-5.2800,-23.7600,-16.2600,160.0000,
1.4270,0.0586,0.2853,0.9420,0.0611,-0.0134,-0.0012,-5.2800,-23.7600,-16.2600,160.0000,
1.4280,0.0586,0.2893,0.9460,0.0611,-0.0134,-0.0012,-5.2800,-23.7600,-16.2600,160.0000,
1.4290,0.0586,0.2853,0.9538,0.0611,-0.0134,-0.0012,-5.2800,-23.7600,-16.2600,160.0000,
1.4300,0.0586,0.2971,0.9538,0.0611,-0.0134,-0.0012,-5.2800,-23.7600,-16.2600,160.0000,
1.4470,0.0586,0.2971,0.9538,0.0611,-0.0134,-0.0012,-5.2800,-24.0600,-15.9600,160.0000,
1.4480,0.0625,0.3010,0.9616,0.0611,-0.0134,-0.0012,-5.2800,-24.0600,-15.9600,160.0000,
1.4670,0.0625,0.3049,0.9655,0.0611,-0.0134,-0.0012,-5.2800,-24.0600,-15.9600,160.0000,
1.4880,0.0665,0.3088,0.9733,0.0611,-0.0134,-0.0012,-5.2800,-24.0600,-15.9600,160.0000,
1.5290,0.0665,0.3088,0.9733,0.0611,-0.0134,-0.0012,-5.4600,-24.3600,-15.9600,160.0000,
1.5320,0.0704,0.3088,0.9811,0.0611,-0.0134,-0.0012,-5.4600,-24.3600,-15.9600,160.0000,
1.5370,0.0704,0.3127,0.9811,0.0611,-0.0134,-0.0012,-5.4600,-24.3600,-15.9600,160.0000,
1.5510,0.0743,0.3088,0.9733,0.0611,-0.0134,-0.0012,-5.4600,-24.3600,-15.9600,160.0000,
1.5610,0.0743,0.3088,0.9733,-0.0086,-0.0134,-0.0183,-5.4600,-24.3600,-15.9600,160.0000,
1.5650,0.0743,0.3088,0.9733,-0.0086,-0.0134,-0.0183,-5.4600,-24.3600,-15.9600,160.0000,
1.5710,0.0704,0.3088,0.9694,-0.0086,-0.0134,-0.0183,-5.4600,-24.3600,-15.9600,160.0000,
1.5910,0.0782,0.3088,0.9616,-0.0086,-0.0134,-0.0183,-5.4600,-24.3600,-15.9600,160.0000,
1.6120,0.0782,0.3244,0.9733,-0.0086,-0.0134,-0.0183,-5.4600,-24.3600,-15.9600,160.0000,
1.6310,0.0821,0.3166,0.9694,-0.0086,-0.0134,-0.0183,-5.4600,-24.3600,-15.9600,160.0000,
1.6500,0.0821,0.3166,0.9694,-0.0086,-0.0134,-0.0183,-5.4000,-24.4800,-15.7200,160.0000,
1.6540,0.0821,0.3166,0.9733,-0.0086,-0.0134,-0.0183,-5.4000,-24.4800,-15.7200,160.0000,
1.6710,0.0821,0.3127,0.9850,-0.0086,-0.0134,-0.0183,-5.4000,-24.4800,-15.7200,160.0000,
1.6910,0.0821,0.3166,0.9890,-0.0086,-0.0134,-0.0183,-5.4000,-24.4800,-15.7200,160.0000,
1.7120,0.0782,0.3166,0.9929,-0.0086,-0.0134,-0.0183,-5.4000,-24.4800,-15.7200,160.0000,
1.7170,0.0782,0.3166,0.9929,-0.0086,-0.0134,-0.0183,-5.3400,-24.5400,-15.9000,160.0000,
1.7310,0.0743,0.3088,0.9772,-0.0086,-0.0134,-0.0183,-5.3400,-24.5400,-15.9000,160.0000,
1.7510,0.0782,0.3010,0.9655,-0.0086,-0.0134,-0.0183,-5.3400,-24.5400,-15.9000,160.0000,
1.7720,0.0782,0.3010,0.9655,0.1943,-0.0171,-0.1075,-5.3400,-24.5400,-15.9000,160.0000,
1.7770,0.0782,0.3010,0.9655,0.1943,-0.0171,-0.1075,-5.3400,-24.5400,-15.9000,160.0000,
1.7800,0.0743,0.3010,0.9538,0.1943,-0.0171,-0.1075,-5.3400,-24.5400,-15.9000,160.0000,
1.7910,0.0743,0.3049,0.9460,0.1943,-0.0171,-0.1075,-5.3400,-24.5400,-15.9000,160.0000,
1.8240,0.0704,0.3010,0.9303,0.1943,-0.0171,-0.1075,-5.3400,-24.5400,-15.9000,160.0000,
1.8660,0.0704,0.2971,0.9264,0.1943,-0.0171,-0.1075,-5.3400,-24.5400,-15.9000,160.0000,
1.8670,0.0704,0.2971,0.9264,0.1943,-0.0171,-0.1075,-5.3400,-24.9600,-15.5400,160.0000,
1.8680,0.0586,0.2971,0.9108,0.1943,-0.0171,-0.1075,-5.3400,-24.9600,-15.5400,160.0000,
1.8920,0.0586,0.2971,0.9069,0.1943,-0.0171,-0.1075,-5.3400,-24.9600,-15.5400,160.0000,
1.9140,0.0547,0.3088,0.9108,0.1943,-0.0171,-0.1075,-5.3400,-24.9600,-15.5400,160.0000,
1.9200,0.0547,0.3088,0.9108,0.1943,-0.0171,-0.1075,-5.2200,-25.2000,-15.0000,160.0000,
1.9320,0.0586,0.3088,0.9225,0.1943,-0.0171,-0.1075,-5.2200,-25.2000,-15.0000,160.0000,
1.9640,0.0586,0.3127,0.9342,0.1943,-0.0171,-0.1075,-5.2200,-25.2000,-15.0000,160.0000,
1.9650,0.0586,0.3127,0.9342,-0.0379,0.0489,-0.0965,-5.2200,-25.2000,-15.0000,160.0000,
1.9680,0.0586,0.3127,0.9342,-0.0379,0.0489,-0.0965,-5.2200,-25.2000,-15.0000,160.0000,
2.1250,0.0625,0.3088,0.9538,-0.0379,0.0489,-0.0965,-5.2200,-25.2000,-15.0000,160.0000,
2.1270,0.0625,0.3127,0.9538,-0.0379,0.0489,-0.0965,-5.2200,-25.2000,-15.0000,160.0000,
2.1280,0.0625,0.3166,0.9460,-0.0379,0.0489,-0.0965,-5.2200,-25.2000,-15.0000,160.0000,
2.1290,0.0547,0.3166,0.9225,-0.0379,0.0489,-0.0965,-5.2200,-25.2000,-15.0000,160.0000,
2.1300,0.0547,0.3166,0.9225,-0.0379,0.0489,-0.0965,-4.9200,-25.2000,-14.9400,160.0000,
2.1310,0.0508,0.3166,0.9264,-0.0379,0.0489,-0.0965,-4.9200,-25.2000,-14.9400,160.0000,
2.1320,0.0508,0.3166,0.9342,-0.0379,0.0489,-0.0965,-4.9200,-25.2000,-14.9400,160.0000,
2.1320,0.0547,0.3244,0.9577,-0.0379,0.0489,-0.0965,-4.9200,-25.2000,-14.9400,160.0000,
2.1340,0.0547,0.3244,0.9577,-0.0379,0.0489,-0.0965,-4.6200,-25.2000,-14.9400,160.0000,
2.1340,0.0547,0.3244,0.9694,-0.0379,0.0489,-0.0965,-4.6200,-25.2000,-14.9400,160.0000,
2.1360,0.0547,0.3166,0.9694,-0.0379,0.0489,-0.0965,-4.6200,-25.2000,-14.9400,160.0000,
2.1540,0.0508,0.3166,0.9655,-0.0379,0.0489,-0.0965,-4.6200,-25.2000,-14.9400,160.0000,
2.1600,0.0508,0.3166,0.9655,0.0134,-0.0134,-0.0428,-4.6200,-25.2000,-14.9400,160.0000,
2.1610,0.0508,0.3166,0.9655,0.0134,-0.0134,-0.0428,-4.6200,-25.2000,-14.9400,160.0000,
2.1680,0.0469,0.3283,0.9733,0.0134,-0.0134,-0.0428,-4.6200,-25.2000,-14.9400,160.0000,
2.1870,0.0469,0.3244,0.9655,0.0134,-0.0134,-0.0428,-4.6200,-25.2000,-14.9400,160.0000,
2.2070,0.0430,0.3127,0.9499,0.0134,-0.0134,-0.0428,-4.6200,-25.2000,-14.9400,160.0000,
2.2480,0.0352,0.3088,0.9303,0.0134,-0.0134,-0.0428,-4.6200,-25.2000,-14.9400,160.0000,
2.2510,0.0352,0.3088,0.9303,0.0134,-0.0134,-0.0428,-4.5600,-25.1400,-15.0000,160.0000,
2.2550,0.0313,0.3010,0.9225,0.0134,-0.0134,-0.0428,-4.5600,-25.1400,-15.0000,160.0000,
2.2710,0.0313,0.3049,0.9381,0.0134,-0.0134,-0.0428,-4.5600,-25.1400,-15.0000,160.0000,
2.2910,0.0391,0.3049,0.9694,0.0134,-0.0134,-0.0428,-4.5600,-25.1400,-15.0000,160.0000,
2.3120,0.0469,0.2971,0.9811,0.0134,-0.0134,-0.0428,-4.5600,-25.1400,-15.0000,160.0000,
2.3200,0.0469,0.2971,0.9811,0.0134,-0.0134,-0.0428,-4.4400,-25.1400,-15.0000,160.0000,
2.3310,0.0430,0.3088,0.9538,0.0134,-0.0134,-0.0428,-4.4400,-25.1400,-15.0000,160.0000,
2.3510,0.0391,0.3088,0.9420,0.0134,-0.0134,-0.0428,-4.4400,-25.1400,-15.0000,160.0000,
2.3620,0.0391,0.3088,0.9420,0.2382,0.0134,0.0342,-4.4400,-25.1400,-15.0000,160.0000,
2.3650,0.0391,0.3088,0.9420,0.2382,0.0134,0.0342,-4.4400,-25.1400,-15.0000,160.0000,
