
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,
0.0220,‎-0.1886,0.1531,0.9357,0.2340,‎-0.1662,‎-0.0502,978.2037,‎-19.6487,3.5889,‎-37.2665,
0.0240,‎-0.1886,0.1531,0.9357,0.2340,‎-0.1662,‎-0.0502,978.2037,‎-19.6259,4.2633,‎-36.7035,
0.0250,‎-0.1886,0.1531,0.9357,‎-0.2253,‎-0.1192,0.0161,978.2037,‎-19.6259,4.2633,‎-36.7035,
0.0260,‎-0.1886,0.1531,0.9357,‎-0.2253,‎-0.1192,0.0161,978.2037,‎-19.6259,4.2633,‎-36.7035,
0.0270,‎-0.1784,0.1433,0.9686,‎-0.2253,‎-0.1192,0.0161,978.2037,‎-19.6259,4.2633,‎-36.7035,
0.0400,‎-0.1944,0.1244,1.0058,‎-0.2253,‎-0.1192,0.0161,978.2037,‎-19.6259,4.2633,‎-36.7035,
0.0410,‎-0.1944,0.1244,1.0058,‎-0.2253,‎-0.1192,0.0161,978.2037,‎-19.4016,4.6402,‎-36.8515,
0.1000,‎-0.1944,0.1244,1.0058,‎-0.2253,‎-0.1192,0.0161,978.2037,‎-20.3018,3.5385,‎-37.1155,
0.1100,‎-0.1797,0.1428,0.9480,‎-0.2253,‎-0.1192,0.0161,978.2037,‎-20.3018,3.5385,‎-37.1155,
0.1600,‎-0.1797,0.1428,0.9480,0.0802,‎-0.0839,0.0609,978.2037,‎-20.3018,3.5385,‎-37.1155,
0.1610,‎-0.1797,0.1428,0.9480,0.0802,‎-0.0839,0.0609,978.2037,‎-20.1218,3.4775,‎-37.4573,
0.1610,‎-0.1797,0.1428,0.9480,0.0802,‎-0.0839,0.0609,978.2037,‎-20.1218,3.4775,‎-37.4573,
0.1700,‎-0.1595,0.1567,0.9106,0.0802,‎-0.0839,0.0609,978.2037,‎-20.1218,3.4775,‎-37.4573,
0.1710,‎-0.1595,0.1567,0.9106,0.0802,‎-0.0839,0.0609,978.1906,‎-20.1218,3.4775,‎-37.4573,
0.2300,‎-0.1728,0.1405,1.0021,0.0802,‎-0.0839,0.0609,978.1906,‎-20.1218,3.4775,‎-37.4573,
0.2420,‎-0.1728,0.1405,1.0021,0.0802,‎-0.0839,0.0609,978.1906,‎-20.4269,3.3020,‎-37.1155,
0.3020,‎-0.1728,0.1405,1.0021,0.0802,‎-0.0839,0.0609,978.1906,‎-20.3110,2.4780,‎-37.5031,
0.3120,‎-0.1480,0.1625,0.9640,0.0802,‎-0.0839,0.0609,978.1906,‎-20.3110,2.4780,‎-37.5031,
0.3590,‎-0.1480,0.1625,0.9640,0.1944,‎-0.0625,‎-0.0267,978.1906,‎-20.3110,2.4780,‎-37.5031,
0.3610,‎-0.1480,0.1625,0.9640,0.1944,‎-0.0625,‎-0.0267,978.1906,‎-20.3110,2.4780,‎-37.5031,
0.3630,‎-0.1480,0.1625,0.9640,0.1944,‎-0.0625,‎-0.0267,978.1906,‎-20.0348,1.9775,‎-37.4161,
0.3700,‎-0.1549,0.1809,0.9805,0.1944,‎-0.0625,‎-0.0267,978.1906,‎-20.0348,1.9775,‎-37.4161,
0.3730,‎-0.1549,0.1809,0.9805,0.1944,‎-0.0625,‎-0.0267,978.2301,‎-20.0348,1.9775,‎-37.4161,
0.4460,‎-0.1549,0.1809,0.9805,0.1944,‎-0.0625,‎-0.0267,978.2301,‎-20.3979,0.2899,‎-37.4039,
0.4500,‎-0.1421,0.2004,0.9665,0.1944,‎-0.0625,‎-0.0267,978.2301,‎-20.3979,0.2899,‎-37.4039,
0.5030,‎-0.1421,0.2004,0.9665,0.1944,‎-0.0625,‎-0.0267,978.2301,‎-21.0526,0.4150,‎-37.4420,
0.5070,‎-0.1333,0.2339,0.9108,0.1944,‎-0.0625,‎-0.0267,978.2301,‎-21.0526,0.4150,‎-37.4420,
0.5600,‎-0.1333,0.2339,0.9108,0.1944,‎-0.0625,‎-0.0267,978.2301,‎-21.0526,0.4150,‎-37.4420,
