
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0360,0.0664,0.3715,0.8933,0.3540,0.1866,0.4045,969.5692,-31.2820,-3.1570,11.2152,26.0000,
0.0750,0.0664,0.3715,0.8933,0.3540,0.1866,0.4045,969.5692,-31.2820,-0.4578,9.1141,26.0000,
0.0870,0.0664,0.3715,0.8933,0.3540,0.1866,0.4045,969.5953,-31.2820,-0.4578,9.1141,26.0000,
0.0880,0.0664,0.3715,0.8933,-0.0903,0.3426,0.6683,969.5953,-31.2820,-0.4578,9.1141,26.0000,
0.0890,0.0664,0.3715,0.8933,-0.0903,0.3426,0.6683,969.5953,-31.2820,-0.4578,9.1141,26.0000,
0.1470,0.0167,0.3502,0.9992,-0.0903,0.3426,0.6683,969.5953,-31.2820,-0.4578,9.1141,26.0000,
0.2410,0.0167,0.3502,0.9992,-0.0903,0.3426,0.6683,969.5953,-31.2820,-0.4578,9.1141,24.0000,
0.2750,0.0167,0.3502,0.9992,-0.0903,0.3426,0.6683,969.5953,-31.7322,2.9922,5.2139,24.0000,
0.2860,0.0167,0.3502,0.9992,0.2878,0.5679,0.7613,969.5953,-31.7322,2.9922,5.2139,24.0000,
0.2870,0.0167,0.3502,0.9992,0.2878,0.5679,0.7613,969.5428,-31.7322,2.9922,5.2139,24.0000,
0.2880,0.0167,0.3502,0.9992,0.2878,0.5679,0.7613,969.5428,-31.7322,2.9922,5.2139,24.0000,
0.3230,0.0167,0.3502,0.9992,0.2878,0.5679,0.7613,969.5428,-31.7322,2.9922,5.2139,23.0000,
0.3660,-0.0617,0.3213,0.8731,0.2878,0.5679,0.7613,969.5428,-31.7322,2.9922,5.2139,23.0000,
0.4450,-0.0617,0.3213,0.8731,0.2878,0.5679,0.7613,969.5428,-31.7322,2.9922,5.2139,24.0000,
0.4760,-0.0617,0.3213,0.8731,0.2878,0.5679,0.7613,969.5428,-31.2820,5.9921,2.8152,24.0000,
0.4850,-0.0617,0.3213,0.8731,0.0977,0.3063,0.4536,969.5428,-31.2820,5.9921,2.8152,24.0000,
0.4860,-0.0617,0.3213,0.8731,0.0977,0.3063,0.4536,969.5428,-31.2820,5.9921,2.8152,24.0000,
0.4870,-0.0617,0.3213,0.8731,0.0977,0.3063,0.4536,969.5952,-31.2820,5.9921,2.8152,24.0000,
0.5690,-0.1025,0.3475,0.9424,0.0977,0.3063,0.4536,969.5952,-31.2820,5.9921,2.8152,24.0000,
0.5740,-0.1025,0.3475,0.9424,0.0977,0.3063,0.4536,969.5952,-31.2820,5.9921,2.8152,23.0000,
0.6790,-0.1025,0.3475,0.9424,0.0977,0.3063,0.4536,969.5952,-30.8319,7.4936,1.1642,23.0000,
0.6840,-0.1025,0.3475,0.9424,0.0977,0.3063,0.4536,969.5952,-30.8319,7.4936,1.1642,23.0000,
0.6850,-0.1025,0.3475,0.9424,0.0154,0.2496,0.1738,969.5952,-30.8319,7.4936,1.1642,23.0000,
0.6880,-0.1025,0.3475,0.9424,0.0154,0.2496,0.1738,969.5688,-30.8319,7.4936,1.1642,23.0000,
0.7640,-0.1447,0.4112,0.8966,0.0154,0.2496,0.1738,969.5688,-30.8319,7.4936,1.1642,23.0000,
0.8840,-0.1447,0.4112,0.8966,0.0154,0.2496,0.1738,969.5688,-31.8817,7.9422,0.5646,23.0000,
0.8880,-0.1447,0.4112,0.8966,0.0154,0.2496,0.1738,969.5688,-31.8817,7.9422,0.5646,23.0000,
0.8920,-0.1447,0.4112,0.8966,0.1521,-0.1317,0.0307,969.5688,-31.8817,7.9422,0.5646,23.0000,
0.8930,-0.1447,0.4112,0.8966,0.1521,-0.1317,0.0307,969.5951,-31.8817,7.9422,0.5646,23.0000,
0.9670,-0.1250,0.3942,0.9100,0.1521,-0.1317,0.0307,969.5951,-31.8817,7.9422,0.5646,23.0000,
