
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,
0.0100,-0.0765,0.4199,0.8413,0.0737,-0.0091,0.0833,978.2639,-17.5964,-34.4254,-22.4548,
0.0110,-0.0765,0.4199,0.8413,0.0737,-0.0091,0.0833,978.2114,-17.5964,-34.4254,-22.4548,
0.0190,-0.0333,0.4241,0.9198,0.0737,-0.0091,0.0833,978.2114,-17.5964,-34.4254,-22.4548,
0.0780,-0.0333,0.4241,0.9198,0.0737,-0.0091,0.0833,978.2114,-17.4530,-34.0057,-22.6349,
0.0790,-0.0333,0.4241,0.9198,0.0054,0.1842,0.2083,978.2114,-17.4530,-34.0057,-22.6349,
0.0800,-0.0333,0.4241,0.9198,0.0054,0.1842,0.2083,978.2114,-17.4530,-34.0057,-22.6349,
0.0920,-0.0547,0.4060,0.8645,0.0054,0.1842,0.2083,978.2114,-17.4530,-34.0057,-22.6349,
0.1340,-0.0547,0.4060,0.8645,0.0054,0.1842,0.2083,978.2114,-18.0664,-32.8796,-23.0408,
0.1530,-0.0308,0.4021,0.9443,0.0054,0.1842,0.2083,978.2114,-18.0664,-32.8796,-23.0408,
0.1960,-0.0308,0.4021,0.9443,0.0054,0.1842,0.2083,978.2114,-18.6798,-31.9916,-23.5352,
0.2060,-0.0308,0.4021,0.9443,0.0054,0.1842,0.2083,978.2379,-18.6798,-31.9916,-23.5352,
0.2130,0.0065,0.3642,1.0038,0.0054,0.1842,0.2083,978.2379,-18.6798,-31.9916,-23.5352,
0.2760,0.0065,0.3642,1.0038,0.0054,0.1842,0.2083,978.2379,-18.8690,-32.0908,-23.7091,
0.2770,0.0065,0.3642,1.0038,0.0428,0.0688,0.2094,978.2379,-18.8690,-32.0908,-23.7091,
0.2780,0.0065,0.3642,1.0038,0.0428,0.0688,0.2094,978.2379,-18.8690,-32.0908,-23.7091,
0.2920,-0.0075,0.3943,0.9140,0.0428,0.0688,0.2094,978.2379,-18.8690,-32.0908,-23.7091,
0.3360,-0.0075,0.3943,0.9140,0.0428,0.0688,0.2094,978.2379,-18.8065,-32.3059,-23.5718,
0.3520,0.0019,0.3852,0.9119,0.0428,0.0688,0.2094,978.2379,-18.8065,-32.3059,-23.5718,
0.3990,0.0019,0.3852,0.9119,0.0428,0.0688,0.2094,978.2379,-19.6121,-31.7673,-23.6099,
0.4080,0.0019,0.3852,0.9119,0.0428,0.0688,0.2094,978.2380,-19.6121,-31.7673,-23.6099,
0.4230,0.0066,0.3890,0.8948,0.0428,0.0688,0.2094,978.2380,-19.6121,-31.7673,-23.6099,
0.4780,0.0066,0.3890,0.8948,0.1015,0.3017,0.1442,978.2380,-19.6121,-31.7673,-23.6099,
0.4820,0.0066,0.3890,0.8948,0.1015,0.3017,0.1442,978.2380,-19.6121,-31.7673,-23.6099,
0.4850,0.0066,0.3890,0.8948,0.1015,0.3017,0.1442,978.2380,-19.3207,-31.7566,-24.0326,
0.4920,-0.0219,0.3877,0.9345,0.1015,0.3017,0.1442,978.2380,-19.3207,-31.7566,-24.0326,
0.5380,-0.0219,0.3877,0.9345,0.1015,0.3017,0.1442,978.2380,-18.3197,-31.5033,-24.0997,
0.5530,-0.0314,0.4000,0.9271,0.1015,0.3017,0.1442,978.2380,-18.3197,-31.5033,-24.0997,
0.5990,-0.0314,0.4000,0.9271,0.1015,0.3017,0.1442,978.2380,-19.2032,-32.0297,-24.2477,
0.6090,-0.0314,0.4000,0.9271,0.1015,0.3017,0.1442,978.3036,-19.2032,-32.0297,-24.2477,
0.6130,-0.0045,0.4126,0.8850,0.1015,0.3017,0.1442,978.3036,-19.2032,-32.0297,-24.2477,
0.6800,-0.0045,0.4126,0.8850,-0.0758,-0.0764,-0.0416,978.3036,-19.2032,-32.0297,-24.2477,
0.6840,-0.0045,0.4126,0.8850,-0.0758,-0.0764,-0.0416,978.3036,-19.2032,-32.0297,-24.2477,
0.6870,-0.0045,0.4126,0.8850,-0.0758,-0.0764,-0.0416,978.3036,-19.3665,-31.8710,-24.1592,
0.6930,-0.0157,0.3981,0.9158,-0.0758,-0.0764,-0.0416,978.3036,-19.3665,-31.8710,-24.1592,
0.7430,-0.0157,0.3981,0.9158,-0.0758,-0.0764,-0.0416,978.3036,-19.2581,-31.7413,-23.4222,
0.7550,-0.0038,0.3962,0.8969,-0.0758,-0.0764,-0.0416,978.3036,-19.2581,-31.7413,-23.4222,
0.8040,-0.0038,0.3962,0.8969,-0.0758,-0.0764,-0.0416,978.3036,-18.4540,-32.0694,-23.8342,
0.8170,-0.0432,0.3935,0.8812,-0.0758,-0.0764,-0.0416,978.3036,-18.4540,-32.0694,-23.8342,
0.8210,-0.0432,0.3935,0.8812,-0.0758,-0.0764,-0.0416,978.3038,-18.4540,-32.0694,-23.8342,
0.8800,-0.0432,0.3935,0.8812,-0.2211,-0.0070,-0.1281,978.3038,-18.4540,-32.0694,-23.8342,
0.8830,-0.0432,0.3935,0.8812,-0.2211,-0.0070,-0.1281,978.3038,-18.4540,-32.0694,-23.8342,
0.8870,-0.0432,0.3935,0.8812,-0.2211,-0.0070,-0.1281,978.3038,-19.1071,-31.7200,-24.4720,
0.9310,-0.0423,0.3866,0.9354,-0.2211,-0.0070,-0.1281,978.3038,-19.1071,-31.7200,-24.4720,
0.9400,-0.0423,0.3866,0.9354,-0.2211,-0.0070,-0.1281,978.3038,-18.7531,-31.2561,-24.7086,
0.9490,-0.0824,0.3834,0.9572,-0.2211,-0.0070,-0.1281,978.3038,-18.7531,-31.2561,-24.7086,
1.0010,-0.0824,0.3834,0.9572,-0.2211,-0.0070,-0.1281,978.3038,-18.8278,-31.2088,-24.1364,
1.0130,-0.0402,0.3904,0.9117,-0.2211,-0.0070,-0.1281,978.3038,-18.8278,-31.2088,-24.1364,
1.0170,-0.0402,0.3904,0.9117,-0.2211,-0.0070,-0.1281,978.2646,-18.8278,-31.2088,-24.1364,
1.0740,-0.0402,0.3904,0.9117,0.0748,-0.0668,0.1229,978.2646,-18.8278,-31.2088,-24.1364,
1.0750,-0.0402,0.3904,0.9117,0.0748,-0.0668,0.1229,978.2646,-18.8278,-31.2088,-24.1364,
1.0810,-0.0402,0.3904,0.9117,0.0748,-0.0668,0.1229,978.2646,-19.1803,-31.7673,-23.7442,
1.0890,-0.0164,0.4037,0.9037,0.0748,-0.0668,0.1229,978.2646,-19.1803,-31.7673,-23.7442,
1.1470,-0.0164,0.4037,0.9037,0.0748,-0.0668,0.1229,978.2646,-19.4687,-31.4941,-23.4467,
1.1550,-0.0205,0.3983,0.9341,0.0748,-0.0668,0.1229,978.2646,-19.4687,-31.4941,-23.4467,
1.2070,-0.0205,0.3983,0.9341,0.0748,-0.0668,0.1229,978.2646,-20.4376,-32.4036,-21.6995,
1.2180,-0.0477,0.3678,0.9802,0.0748,-0.0668,0.1229,978.2646,-20.4376,-32.4036,-21.6995,
1.2210,-0.0477,0.3678,0.9802,0.0748,-0.0668,0.1229,978.3041,-20.4376,-32.4036,-21.6995,
1.2780,-0.0477,0.3678,0.9802,0.7253,-0.3103,-0.0737,978.3041,-20.4376,-32.4036,-21.6995,
1.2810,-0.0477,0.3678,0.9802,0.7253,-0.3103,-0.0737,978.3041,-20.4376,-32.4036,-21.6995,
1.2850,-0.0477,0.3678,0.9802,0.7253,-0.3103,-0.0737,978.3041,-21.8216,-34.1660,-18.0328,
1.2930,0.1077,0.4106,0.7503,0.7253,-0.3103,-0.0737,978.3041,-21.8216,-34.1660,-18.0328,
1.3460,0.1077,0.4106,0.7503,0.7253,-0.3103,-0.0737,978.3041,-22.5403,-33.9127,-16.5466,
1.3540,-0.1133,0.2835,0.8610,0.7253,-0.3103,-0.0737,978.3041,-22.5403,-33.9127,-16.5466,
1.4070,-0.1133,0.2835,0.8610,0.7253,-0.3103,-0.0737,978.3041,-24.3423,-32.1823,-16.3300,
1.4220,-0.1133,0.2835,0.8610,0.7253,-0.3103,-0.0737,978.3041,-24.3423,-32.1823,-16.3300,
1.4290,-0.0210,0.3987,0.6602,0.7253,-0.3103,-0.0737,978.3041,-24.3423,-32.1823,-16.3300,
1.4730,-0.0210,0.3987,0.6602,0.0107,0.9062,-0.3407,978.3041,-24.3423,-32.1823,-16.3300,
1.4740,-0.0210,0.3987,0.6602,0.0107,0.9062,-0.3407,978.3041,-24.3423,-32.1823,-16.3300,
1.4840,-0.0210,0.3987,0.6602,0.0107,0.9062,-0.3407,978.3041,-24.8215,-29.9011,-19.5099,
1.4890,0.5129,0.8010,0.8653,0.0107,0.9062,-0.3407,978.3041,-24.8215,-29.9011,-19.5099,
1.5450,0.5129,0.8010,0.8653,0.0107,0.9062,-0.3407,978.3041,-20.6955,-31.8558,-21.3913,
1.5480,-0.2944,0.3995,0.6309,0.0107,0.9062,-0.3407,978.3041,-20.6955,-31.8558,-21.3913,
1.6080,-0.2944,0.3995,0.6309,0.0107,0.9062,-0.3407,978.3041,-15.8005,-33.1512,-24.6536,
