
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,
0.0130,-0.0043,0.4520,1.0705,-0.7091,-0.3955,-0.2686,977.7471,-31.4316,-29.4067,-19.8349,
0.0140,0.0437,0.3146,0.8402,-0.7091,-0.3955,-0.2686,977.7471,-31.4316,-29.4067,-19.8349,
0.0370,0.0437,0.3146,0.8402,-0.7091,-0.3955,-0.2686,977.7471,-31.4316,-29.4067,-19.8349,
0.0380,0.0437,0.3146,0.8402,-0.0597,0.3703,-0.1169,977.7471,-31.4316,-29.4067,-19.8349,
0.0390,0.0437,0.3146,0.8402,-0.0597,0.3703,-0.1169,977.7471,-27.5314,-31.6574,-19.9860,
0.0570,0.0437,0.3146,0.8402,-0.0597,0.3703,-0.1169,977.7076,-27.5314,-31.6574,-19.9860,
0.2140,0.0042,0.3719,0.9079,-0.0597,0.3703,-0.1169,977.7076,-27.5314,-31.6574,-19.9860,
0.2180,0.0042,0.3719,0.9079,-0.4987,0.1161,0.0422,977.7076,-27.5314,-31.6574,-19.9860,
0.2190,0.0042,0.3719,0.9079,-0.4987,0.1161,0.0422,977.7076,-27.5314,-31.6574,-19.9860,
0.2350,0.0042,0.3719,0.9079,-0.4987,0.1161,0.0422,977.7076,-28.7323,-32.1075,-19.9860,
0.2440,0.0042,0.3719,0.9079,-0.4987,0.1161,0.0422,977.7468,-28.7323,-32.1075,-19.9860,
0.2660,0.0042,0.3719,0.9079,-0.4987,0.1161,0.0422,977.7468,-28.7323,-32.1075,-19.9860,
0.3920,0.0042,0.3719,0.9079,-0.4987,0.1161,0.0422,977.7468,-28.7323,-32.1075,-19.9860,
0.4150,-0.1780,0.4134,1.0781,-0.4987,0.1161,0.0422,977.7468,-28.7323,-32.1075,-19.9860,
0.4170,-0.1780,0.4134,1.0781,0.0183,0.4494,0.4171,977.7468,-28.7323,-32.1075,-19.9860,
0.4180,-0.1780,0.4134,1.0781,0.0183,0.4494,0.4171,977.7468,-28.7323,-32.1075,-19.9860,
0.4360,-0.1780,0.4134,1.0781,0.0183,0.4494,0.4171,977.7468,-27.5314,-30.3070,-21.4859,
0.4480,-0.1780,0.4134,1.0781,0.0183,0.4494,0.4171,977.7075,-27.5314,-30.3070,-21.4859,
0.4730,-0.1780,0.4134,1.0781,0.0183,0.4494,0.4171,977.7075,-27.5314,-30.3070,-21.4859,
0.6210,-0.1448,0.3737,0.6656,0.0183,0.4494,0.4171,977.7075,-27.5314,-30.3070,-21.4859,
0.6240,-0.1448,0.3737,0.6656,-0.3491,1.4523,0.2313,977.7075,-27.5314,-30.3070,-21.4859,
0.6260,-0.1448,0.3737,0.6656,-0.3491,1.4523,0.2313,977.7075,-27.5314,-30.3070,-21.4859,
0.6370,-0.1448,0.3737,0.6656,-0.3491,1.4523,0.2313,977.7075,-27.5314,-30.3070,-21.4859,
0.6390,-0.1448,0.3737,0.6656,-0.3491,1.4523,0.2313,977.7075,-25.5814,-31.8069,-21.9360,
0.6520,-0.1448,0.3737,0.6656,-0.3491,1.4523,0.2313,977.7074,-25.5814,-31.8069,-21.9360,
0.7220,-0.1448,0.3737,0.6656,-0.3491,1.4523,0.2313,977.7074,-25.5814,-31.8069,-21.9360,
