
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,
0.0100,0.1532,0.3554,0.7611,-0.2958,-0.3435,-0.5661,978.4857,9.1843,9.6481,-42.0059,
0.0270,0.0400,0.2935,0.6118,-0.2958,-0.3435,-0.5661,978.4857,9.1843,9.6481,-42.0059,
0.0740,0.0400,0.2935,0.6118,-0.2958,-0.3435,-0.5661,978.4857,9.6786,10.5637,-41.2506,
0.0860,0.0400,0.2935,0.6118,-0.2958,-0.3435,-0.5661,978.4593,9.6786,10.5637,-41.2506,
0.1050,-0.0946,0.3734,0.5743,-0.2958,-0.3435,-0.5661,978.4593,9.6786,10.5637,-41.2506,
0.1350,-0.0946,0.3734,0.5743,-0.2958,-0.3435,-0.5661,978.4593,10.4095,10.1440,-41.4429,
0.1660,-0.0247,0.4982,0.7049,-0.2958,-0.3435,-0.5661,978.4593,10.4095,10.1440,-41.4429,
0.1730,-0.0247,0.4982,0.7049,-0.2958,-0.3435,-0.5661,978.4593,10.4095,10.1440,-41.4429,
0.1740,-0.0247,0.4982,0.7049,0.2724,-0.0818,-0.2382,978.4593,10.4095,10.1440,-41.4429,
0.1980,-0.0247,0.4982,0.7049,0.2724,-0.0818,-0.2382,978.4593,9.7168,9.1965,-42.1524,
0.2250,-0.0295,0.5124,1.0491,0.2724,-0.0818,-0.2382,978.4593,9.7168,9.1965,-42.1524,
0.2760,-0.0295,0.5124,1.0491,0.2724,-0.0818,-0.2382,978.4593,10.9436,9.1507,-41.3773,
0.2860,-0.0295,0.5124,1.0491,0.2724,-0.0818,-0.2382,978.5118,10.9436,9.1507,-41.3773,
0.3050,-0.0476,0.5988,1.0324,0.2724,-0.0818,-0.2382,978.5118,10.9436,9.1507,-41.3773,
0.3360,-0.0476,0.5988,1.0324,0.2724,-0.0818,-0.2382,978.5118,11.0870,10.7239,-40.9805,
0.3640,-0.0033,0.4422,1.4723,0.2724,-0.0818,-0.2382,978.5118,11.0870,10.7239,-40.9805,
0.3730,-0.0033,0.4422,1.4723,0.2724,-0.0818,-0.2382,978.5118,11.0870,10.7239,-40.9805,
0.3760,-0.0033,0.4422,1.4723,-0.2403,0.8261,0.4903,978.5118,11.0870,10.7239,-40.9805,
0.3960,-0.0033,0.4422,1.4723,-0.2403,0.8261,0.4903,978.5118,13.8947,10.0220,-40.2573,
0.4250,-0.0357,0.4769,0.7442,-0.2403,0.8261,0.4903,978.5118,13.8947,10.0220,-40.2573,
0.4820,-0.0357,0.4769,0.7442,-0.2403,0.8261,0.4903,978.5118,14.6118,10.3043,-39.5126,
0.4900,-0.0357,0.4769,0.7442,-0.2403,0.8261,0.4903,978.5117,14.6118,10.3043,-39.5126,
0.5090,0.0305,0.3425,0.7245,-0.2403,0.8261,0.4903,978.5117,14.6118,10.3043,-39.5126,
0.5410,0.0305,0.3425,0.7245,-0.2403,0.8261,0.4903,978.5117,15.7822,10.4691,-39.0213,
0.5720,-0.0361,0.3351,0.6279,-0.2403,0.8261,0.4903,978.5117,15.7822,10.4691,-39.0213,
0.5770,-0.0361,0.3351,0.6279,0.1218,0.0945,0.2596,978.5117,15.7822,10.4691,-39.0213,
0.5790,-0.0361,0.3351,0.6279,0.1218,0.0945,0.2596,978.5117,15.7822,10.4691,-39.0213,
0.6000,-0.0361,0.3351,0.6279,0.1218,0.0945,0.2596,978.5117,16.1835,9.2514,-39.0442,
0.6330,-0.0605,0.3854,0.6444,0.1218,0.0945,0.2596,978.5117,16.1835,9.2514,-39.0442,
0.6820,-0.0605,0.3854,0.6444,0.1218,0.0945,0.2596,978.5117,14.6088,8.5052,-40.1123,
0.6890,-0.0605,0.3854,0.6444,0.1218,0.0945,0.2596,978.5115,14.6088,8.5052,-40.1123,
0.7070,0.0347,0.4093,0.9767,0.1218,0.0945,0.2596,978.5115,14.6088,8.5052,-40.1123,
0.7380,0.0347,0.4093,0.9767,0.1218,0.0945,0.2596,978.5115,14.7675,8.2993,-40.4282,
0.7640,0.0217,0.4551,1.1066,0.1218,0.0945,0.2596,978.5115,14.7675,8.2993,-40.4282,
0.7710,0.0217,0.4551,1.1066,0.0460,-0.1523,-0.1036,978.5115,14.7675,8.2993,-40.4282,
0.7750,0.0217,0.4551,1.1066,0.0460,-0.1523,-0.1036,978.5115,14.7675,8.2993,-40.4282,
0.8020,0.0217,0.4551,1.1066,0.0460,-0.1523,-0.1036,978.5115,14.0884,9.6252,-40.1230,
0.8240,0.1518,0.3098,1.4316,0.0460,-0.1523,-0.1036,978.5115,14.0884,9.6252,-40.1230,
0.8800,0.1518,0.3098,1.4316,0.0460,-0.1523,-0.1036,978.5115,14.3234,10.6339,-39.9780,
