
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0170,-0.1349,0.4759,1.0779,0.1486,0.1051,0.7445,979.7223,-11.9324,-42.7567,-12.7853,0.0000,
0.0180,-0.1349,0.4759,1.0779,0.1486,0.1051,0.7445,979.7223,-11.9324,-42.7567,-12.7853,0.0000,
0.1020,-0.1349,0.4759,1.0779,0.1486,0.1051,0.7445,979.7223,-17.0319,-41.7068,-12.0361,0.0000,
0.1120,-0.1349,0.4759,1.0779,0.1486,0.1051,0.7445,979.6962,-17.0319,-41.7068,-12.0361,0.0000,
0.1610,0.0470,0.4815,0.5960,0.1486,0.1051,0.7445,979.6962,-17.0319,-41.7068,-12.0361,0.0000,
0.2150,0.0470,0.4815,0.5960,0.1486,0.1051,0.7445,979.6962,-17.0319,-41.7068,-12.0361,0.0000,
0.2160,0.0470,0.4815,0.5960,-0.2914,-0.2858,-0.1740,979.6962,-17.0319,-41.7068,-12.0361,0.0000,
0.3030,0.0470,0.4815,0.5960,-0.2914,-0.2858,-0.1740,979.6962,-17.1814,-42.3065,-11.8851,0.0000,
0.3140,0.0470,0.4815,0.5960,-0.2914,-0.2858,-0.1740,979.6964,-17.1814,-42.3065,-11.8851,0.0000,
0.3800,0.1249,0.5490,1.1180,-0.2914,-0.2858,-0.1740,979.6964,-17.1814,-42.3065,-11.8851,0.0000,
0.4150,0.1249,0.5490,1.1180,-0.0885,-0.3350,-0.6056,979.6964,-17.1814,-42.3065,-11.8851,0.0000,
0.4160,0.1249,0.5490,1.1180,-0.0885,-0.3350,-0.6056,979.6964,-17.1814,-42.3065,-11.8851,0.0000,
0.5060,0.1249,0.5490,1.1180,-0.0885,-0.3350,-0.6056,979.6964,-12.6816,-42.3065,-13.9862,0.0000,
0.5140,0.1249,0.5490,1.1180,-0.0885,-0.3350,-0.6056,979.6964,-12.6816,-42.3065,-13.9862,0.0000,
0.5790,0.0179,0.4308,0.7216,-0.0885,-0.3350,-0.6056,979.6964,-12.6816,-42.3065,-13.9862,0.0000,
0.6140,0.0179,0.4308,0.7216,0.2747,-0.0220,-0.2830,979.6964,-12.6816,-42.3065,-13.9862,0.0000,
0.6160,0.0179,0.4308,0.7216,0.2747,-0.0220,-0.2830,979.6964,-12.6816,-42.3065,-13.9862,0.0000,
0.7050,0.0179,0.4308,0.7216,0.2747,-0.0220,-0.2830,979.6964,-10.8826,-43.6569,-11.5860,0.0000,
0.7150,0.0179,0.4308,0.7216,0.2747,-0.0220,-0.2830,979.6703,-10.8826,-43.6569,-11.5860,0.0000,
0.7790,-0.1293,0.5832,0.8266,0.2747,-0.0220,-0.2830,979.6703,-10.8826,-43.6569,-11.5860,0.0000,
0.8150,-0.1293,0.5832,0.8266,-0.3042,0.0538,0.4059,979.6703,-10.8826,-43.6569,-11.5860,0.0000,
0.8190,-0.1293,0.5832,0.8266,-0.3042,0.0538,0.4059,979.6703,-10.8826,-43.6569,-11.5860,0.0000,
0.9100,-0.1293,0.5832,0.8266,-0.3042,0.0538,0.4059,979.6703,-13.4323,-43.3578,-11.8851,0.0000,
0.9200,-0.1293,0.5832,0.8266,-0.3042,0.0538,0.4059,979.7228,-13.4323,-43.3578,-11.8851,0.0000,
0.9820,-0.0798,0.5008,1.0070,-0.3042,0.0538,0.4059,979.7228,-13.4323,-43.3578,-11.8851,0.0000,
1.0160,-0.0798,0.5008,1.0070,0.1059,-0.4290,0.7339,979.7228,-13.4323,-43.3578,-11.8851,0.0000,
1.0200,-0.0798,0.5008,1.0070,0.1059,-0.4290,0.7339,979.7228,-13.4323,-43.3578,-11.8851,0.0000,
1.1090,-0.0798,0.5008,1.0070,0.1059,-0.4290,0.7339,979.7228,-20.1828,-41.2567,-11.7355,0.0000,
1.1190,-0.0798,0.5008,1.0070,0.1059,-0.4290,0.7339,979.6312,-20.1828,-41.2567,-11.7355,0.0000,
1.1780,0.1325,0.4986,0.6247,0.1059,-0.4290,0.7339,979.6312,-20.1828,-41.2567,-11.7355,0.0000,
1.2170,0.1325,0.4986,0.6247,0.1059,-0.4290,0.7339,979.6312,-20.1828,-41.2567,-11.7355,0.0000,
1.2210,0.1325,0.4986,0.6247,0.1850,-0.0434,0.1517,979.6312,-20.1828,-41.2567,-11.7355,0.0000,
1.3140,0.1325,0.4986,0.6247,0.1850,-0.0434,0.1517,979.6312,-20.3323,-40.6570,-12.0361,0.0000,
1.3240,0.1325,0.4986,0.6247,0.1850,-0.0434,0.1517,979.7233,-20.3323,-40.6570,-12.0361,0.0000,
1.3810,0.2658,0.4961,1.0546,0.1850,-0.0434,0.1517,979.7233,-20.3323,-40.6570,-12.0361,0.0000,
1.4160,0.2658,0.4961,1.0546,-0.4431,-0.7323,-1.1311,979.7233,-20.3323,-40.6570,-12.0361,0.0000,
1.4200,0.2658,0.4961,1.0546,-0.4431,-0.7323,-1.1311,979.7233,-20.3323,-40.6570,-12.0361,0.0000,
1.5120,0.2658,0.4961,1.0546,-0.4431,-0.7323,-1.1311,979.7233,-15.6815,-43.6569,-9.4849,0.0000,
1.5210,0.2658,0.4961,1.0546,-0.4431,-0.7323,-1.1311,979.7233,-15.6815,-43.6569,-9.4849,0.0000,
1.5830,0.0895,0.4596,0.6476,-0.4431,-0.7323,-1.1311,979.7233,-15.6815,-43.6569,-9.4849,0.0000,
1.6110,0.0895,0.4596,0.6476,-0.1419,-0.5710,-0.5554,979.7233,-15.6815,-43.6569,-9.4849,0.0000,
1.6160,0.0895,0.4596,0.6476,-0.1419,-0.5710,-0.5554,979.7233,-15.6815,-43.6569,-9.4849,0.0000,
1.7120,0.0895,0.4596,0.6476,-0.1419,-0.5710,-0.5554,979.7233,-15.0818,-44.1071,-7.6859,0.0000,
1.7220,0.0895,0.4596,0.6476,-0.1419,-0.5710,-0.5554,979.7366,-15.0818,-44.1071,-7.6859,0.0000,
