
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,
0.0060,0.0143,0.4008,0.5604,0.2233,-0.4407,-0.4187,978.6127,-28.4439,-5.0415,-30.7419,
0.0110,0.0143,0.4008,0.5604,0.2233,-0.4407,-0.4187,978.5864,-28.4439,-5.0415,-30.7419,
0.0210,0.0144,0.4479,0.8753,0.2233,-0.4407,-0.4187,978.5864,-28.4439,-5.0415,-30.7419,
0.0450,0.0144,0.4479,0.8753,-0.0982,0.4523,-0.0352,978.5864,-28.4439,-5.0415,-30.7419,
0.0450,0.0144,0.4479,0.8753,-0.0982,0.4523,-0.0352,978.5864,-28.4439,-5.0415,-30.7419,
0.0460,0.0144,0.4479,0.8753,-0.0982,0.4523,-0.0352,978.5864,-27.9343,-4.7241,-34.0576,
0.1070,-0.1047,0.4727,1.0072,-0.0982,0.4523,-0.0352,978.5864,-27.9343,-4.7241,-34.0576,
0.1080,-0.1047,0.4727,1.0072,-0.0982,0.4523,-0.0352,978.5864,-26.9562,-4.6585,-35.2692,
0.1600,-0.1260,0.4406,1.1935,-0.0982,0.4523,-0.0352,978.5864,-26.9562,-4.6585,-35.2692,
0.1830,-0.1260,0.4406,1.1935,-0.0982,0.4523,-0.0352,978.5864,-27.8183,6.9717,-29.2908,
0.1950,-0.1260,0.4406,1.1935,-0.0982,0.4523,-0.0352,978.6127,-27.8183,6.9717,-29.2908,
0.2210,-0.1234,0.3473,1.3853,-0.0982,0.4523,-0.0352,978.6127,-27.8183,6.9717,-29.2908,
0.2360,-0.1234,0.3473,1.3853,0.0396,0.1885,0.7061,978.6127,-27.8183,6.9717,-29.2908,
0.2370,-0.1234,0.3473,1.3853,0.0396,0.1885,0.7061,978.6127,-27.8183,6.9717,-29.2908,
0.2440,-0.1234,0.3473,1.3853,0.0396,0.1885,0.7061,978.6127,-26.2848,-1.2726,-35.7895,
0.3010,-0.1150,0.3502,0.9293,0.0396,0.1885,0.7061,978.6127,-26.2848,-1.2726,-35.7895,
0.3060,-0.1150,0.3502,0.9293,0.0396,0.1885,0.7061,978.6127,-25.7706,0.5478,-36.1832,
0.3610,-0.0650,0.2655,0.7127,0.0396,0.1885,0.7061,978.6127,-25.7706,0.5478,-36.1832,
0.3860,-0.0650,0.2655,0.7127,0.0396,0.1885,0.7061,978.6127,-25.6561,0.8194,-33.8242,
0.3960,-0.0650,0.2655,0.7127,0.0396,0.1885,0.7061,978.6127,-25.6561,0.8194,-33.8242,
0.4210,0.0249,0.3240,0.5425,0.0396,0.1885,0.7061,978.6127,-25.6561,0.8194,-33.8242,
0.4360,0.0249,0.3240,0.5425,0.4487,-0.2334,0.7082,978.6127,-25.6561,0.8194,-33.8242,
0.4370,0.0249,0.3240,0.5425,0.4487,-0.2334,0.7082,978.6127,-25.6561,0.8194,-33.8242,
0.4460,0.0249,0.3240,0.5425,0.4487,-0.2334,0.7082,978.6127,-26.3199,1.3123,-35.3180,
0.5010,0.1630,0.4344,0.5928,0.4487,-0.2334,0.7082,978.6127,-26.3199,1.3123,-35.3180,
0.5060,0.1630,0.4344,0.5928,0.4487,-0.2334,0.7082,978.6127,-27.5711,1.7426,-35.3058,
0.5610,0.2558,0.4741,1.0789,0.4487,-0.2334,0.7082,978.6127,-27.5711,1.7426,-35.3058,
0.5870,0.2558,0.4741,1.0789,0.4487,-0.2334,0.7082,978.6127,-26.4709,1.5701,-35.2188,
0.5980,0.2558,0.4741,1.0789,0.4487,-0.2334,0.7082,978.5865,-26.4709,1.5701,-35.2188,
0.6360,0.2558,0.4741,1.0789,-0.1271,-0.4439,-0.5714,978.5865,-26.4709,1.5701,-35.2188,
0.6390,0.2558,0.4741,1.0789,-0.1271,-0.4439,-0.5714,978.5865,-26.4709,1.5701,-35.2188,
0.6410,0.1543,0.5509,1.0579,-0.1271,-0.4439,-0.5714,978.5865,-26.4709,1.5701,-35.2188,
0.6480,0.1543,0.5509,1.0579,-0.1271,-0.4439,-0.5714,978.5865,-27.2781,0.3983,-34.5978,
0.7040,0.2353,0.3374,1.4122,-0.1271,-0.4439,-0.5714,978.5865,-27.2781,0.3983,-34.5978,
0.7150,0.2353,0.3374,1.4122,-0.1271,-0.4439,-0.5714,978.5865,-28.1067,-0.2960,-34.0897,
0.7630,0.1134,0.3604,0.9939,-0.1271,-0.4439,-0.5714,978.5865,-28.1067,-0.2960,-34.0897,
0.7930,0.1134,0.3604,0.9939,-0.1271,-0.4439,-0.5714,978.5865,-29.8996,-2.6520,-32.1548,
0.8020,0.1134,0.3604,0.9939,-0.1271,-0.4439,-0.5714,978.5864,-29.8996,-2.6520,-32.1548,
0.8410,0.1134,0.3604,0.9939,0.1688,-0.5806,-0.6505,978.5864,-29.8996,-2.6520,-32.1548,
0.8450,0.1134,0.3604,0.9939,0.1688,-0.5806,-0.6505,978.5864,-29.8996,-2.6520,-32.1548,
0.8490,0.1159,0.3331,0.6567,0.1688,-0.5806,-0.6505,978.5864,-29.8996,-2.6520,-32.1548,
0.8520,0.1159,0.3331,0.6567,0.1688,-0.5806,-0.6505,978.5864,-30.8411,-4.6799,-30.9555,
0.9010,0.0156,0.3935,0.5065,0.1688,-0.5806,-0.6505,978.5864,-30.8411,-4.6799,-30.9555,
0.9120,0.0156,0.3935,0.5065,0.1688,-0.5806,-0.6505,978.5864,-32.5836,-7.0145,-29.9057,
0.9610,0.0093,0.4741,0.5427,0.1688,-0.5806,-0.6505,978.5864,-32.5836,-7.0145,-29.9057,
0.9970,0.0093,0.4741,0.5427,0.1688,-0.5806,-0.6505,978.5864,-33.5861,-8.7799,-27.2675,
1.0010,0.0093,0.4741,0.5427,0.1688,-0.5806,-0.6505,978.5865,-33.5861,-8.7799,-27.2675,
1.0350,0.0093,0.4741,0.5427,1.1899,-2.2725,-0.3087,978.5865,-33.5861,-8.7799,-27.2675,
1.0380,0.0093,0.4741,0.5427,1.1899,-2.2725,-0.3087,978.5865,-33.5861,-8.7799,-27.2675,
1.0390,0.1669,0.5765,0.7074,1.1899,-2.2725,-0.3087,978.5865,-33.5861,-8.7799,-27.2675,
