
time,gfx,gFy,gFz,wx,wy,wz,p,Bx,By,Bz,I,
0.0090,-0.0680,0.3659,0.6863,-0.4338,-0.1322,1.6402,981.7438,-18.7744,3.5263,-34.5612,0.0000,
0.0110,-0.0680,0.3659,0.6863,-0.4338,-0.1322,1.6402,981.7438,-18.7744,3.5263,-34.5612,0.0000,
0.0480,-0.0898,0.5968,1.2253,-0.4338,-0.1322,1.6402,981.7438,-18.7744,3.5263,-34.5612,0.0000,
0.1000,-0.0898,0.5968,1.2253,-0.4338,-0.1322,1.6402,981.7438,-16.2231,6.3766,-35.3119,0.0000,
0.1150,-0.0898,0.5968,1.2253,-0.4338,-0.1322,1.6402,981.7440,-16.2231,6.3766,-35.3119,0.0000,
0.1860,-0.0898,0.5968,1.2253,0.9526,0.2139,0.3884,981.7440,-16.2231,6.3766,-35.3119,0.0000,
0.1900,-0.0898,0.5968,1.2253,0.9526,0.2139,0.3884,981.7440,-16.2231,6.3766,-35.3119,0.0000,
0.2390,-0.0649,0.4408,0.5834,0.9526,0.2139,0.3884,981.7440,-16.2231,6.3766,-35.3119,0.0000,
0.2990,-0.0649,0.4408,0.5834,0.9526,0.2139,0.3884,981.7440,-16.8243,-0.8240,-36.0611,0.0000,
0.3090,-0.0649,0.4408,0.5834,0.9526,0.2139,0.3884,981.7703,-16.8243,-0.8240,-36.0611,0.0000,
0.3850,-0.0649,0.4408,0.5834,0.1099,-0.1995,-0.0250,981.7703,-16.8243,-0.8240,-36.0611,0.0000,
0.3860,-0.0649,0.4408,0.5834,0.1099,-0.1995,-0.0250,981.7703,-16.8243,-0.8240,-36.0611,0.0000,
0.4600,0.2143,0.7284,0.7666,0.1099,-0.1995,-0.0250,981.7703,-16.8243,-0.8240,-36.0611,0.0000,
0.5020,0.2143,0.7284,0.7666,0.1099,-0.1995,-0.0250,981.7703,-14.8743,-1.4236,-37.7106,0.0000,
0.5110,0.2143,0.7284,0.7666,0.1099,-0.1995,-0.0250,981.7180,-14.8743,-1.4236,-37.7106,0.0000,
0.5850,0.2143,0.7284,0.7666,0.2284,0.6732,-0.3796,981.7180,-14.8743,-1.4236,-37.7106,0.0000,
0.5870,0.2143,0.7284,0.7666,0.2284,0.6732,-0.3796,981.7180,-14.8743,-1.4236,-37.7106,0.0000,
0.6610,0.0547,0.6511,0.9126,0.2284,0.6732,-0.3796,981.7180,-14.8743,-1.4236,-37.7106,0.0000,
0.7010,0.0547,0.6511,0.9126,0.2284,0.6732,-0.3796,981.7180,-9.7733,-7.4234,-38.6108,0.0000,
0.7110,0.0547,0.6511,0.9126,0.2284,0.6732,-0.3796,981.7443,-9.7733,-7.4234,-38.6108,0.0000,
0.7830,0.0547,0.6511,0.9126,0.2284,0.6732,-0.3796,981.7443,-9.7733,-7.4234,-38.6108,0.0000,
0.7840,0.0547,0.6511,0.9126,2.8709,1.3546,0.0071,981.7443,-9.7733,-7.4234,-38.6108,0.0000,
0.8570,-0.1481,0.7727,0.5224,2.8709,1.3546,0.0071,981.7443,-9.7733,-7.4234,-38.6108,0.0000,
0.9020,-0.1481,0.7727,0.5224,2.8709,1.3546,0.0071,981.7443,-1.5244,-20.7733,-36.0611,0.0000,
0.9120,-0.1481,0.7727,0.5224,2.8709,1.3546,0.0071,981.7184,-1.5244,-20.7733,-36.0611,0.0000,
0.9820,-0.1481,0.7727,0.5224,1.2581,0.5685,0.9609,981.7184,-1.5244,-20.7733,-36.0611,0.0000,
0.9840,-0.1481,0.7727,0.5224,1.2581,0.5685,0.9609,981.7184,-1.5244,-20.7733,-36.0611,0.0000,
1.0570,-0.1771,1.0793,0.2833,1.2581,0.5685,0.9609,981.7184,-1.5244,-20.7733,-36.0611,0.0000,
1.1060,-0.1771,1.0793,0.2833,1.2581,0.5685,0.9609,981.7184,-2.4231,-25.4242,-32.7606,0.0000,
1.1160,-0.1771,1.0793,0.2833,1.2581,0.5685,0.9609,981.7446,-2.4231,-25.4242,-32.7606,0.0000,
1.1860,-0.1771,1.0793,0.2833,1.2506,0.7597,2.0664,981.7446,-2.4231,-25.4242,-32.7606,0.0000,
1.1920,-0.1771,1.0793,0.2833,1.2506,0.7597,2.0664,981.7446,-2.4231,-25.4242,-32.7606,0.0000,
1.2610,0.3740,0.7025,0.0803,1.2506,0.7597,2.0664,981.7446,-2.4231,-25.4242,-32.7606,0.0000,
1.3130,0.3740,0.7025,0.0803,1.2506,0.7597,2.0664,981.7446,-9.6237,-25.8728,-29.7607,0.0000,
1.3190,0.3740,0.7025,0.0803,1.2506,0.7597,2.0664,981.6793,-9.6237,-25.8728,-29.7607,0.0000,
1.3860,0.3740,0.7025,0.0803,1.1075,-0.1055,0.6479,981.6793,-9.6237,-25.8728,-29.7607,0.0000,
1.3950,0.3740,0.7025,0.0803,1.1075,-0.1055,0.6479,981.6793,-9.6237,-25.8728,-29.7607,0.0000,
1.4600,0.4611,0.8579,0.2162,1.1075,-0.1055,0.6479,981.6793,-9.6237,-25.8728,-29.7607,0.0000,
